data_avaliacao;titulo;comentario_positivo;comentario_negativo;nota;;;;;;;;
8 de março de 2024;Muito bom;A localização do hotel é excelente, com tudo que você precisa por perto. O café da manhã também é bom.;O prédio do hotel é meio antigo, mas isso não impede uma boa e confortável estadia.;8;;;;;;;;
7 de março de 2024;Boa mas pode melhorar;Atendimento e localização;Mesa do quarto quebrada, lençol extremamente fino, tampa do vaso de péssima qualidade e soltando, café da manhã com poucas opções, salsicha verde e fui sorteado com uma melancia azeda.;7;;;;;;;;
7 de março de 2024;Bom custo benefício;Bom café da manhã e uma ótima localização;A cama não foi de casal, como feita a reserva;7;;;;;;;;
7 de março de 2024;Muito bom;Limpeza e café da manhã excelente;Não possuem filtro nem bebedouros p hóspedes.;8;;;;;;;;
5 de março de 2024;Bem localizada;A estadia foi curta , mas foi dentro do programado.;O quarto que fiquei a descarga não estava funcionando, fora isso, tudo ok;8;;;;;;;;
4 de março de 2024;Satisfatório;;Acho que a limpeza do hotel em si precisa melhorar, nitidamente dava pra ver que o chão do corredor não era limpado a dias, tava todo sujo, preguento, as janelas também;6;;;;;;;;
4 de março de 2024;Satisfatório;;Café da manhã ruim.;6;;;;;;;;
2 de março de 2024;Em breve retornaremos!;Quarto muito bem climatizado,é organizado,atendimento excelente!;;7;;;;;;;;
2 de março de 2024;Teria opções melhores;Custo benefício;Tv e chuveiro quente sem funcionar;8;;;;;;;;
1º de março de 2024;Votaremos e indiquei para uma prima;Indenização do quarto;Elevador sem ar condicionado;8;;;;;;;;
28 de fevereiro de 2024;Bom;Localização muito boa próx a praia avenidas principais do bairro de boa viagem;Café da manhã muito repetitivo , todos os dias as mesmas coisas não tinha muita variedade;7;;;;;;;;
27 de fevereiro de 2024;Bom;Da localização e do café da manhã;Péssimo atendimento na recepção e a cama de casal separava no meio, não era uma cama única.;7;;;;;;;;
27 de fevereiro de 2024;Ótimo custo benefício 💁🏼‍♂️;Ótimo custo benefício. Tv smart, café da manhã bem servido.;O colchão não era dos melhores, mas nada que prejudique a sua estadia, pode reservar sem medo.;8;;;;;;;;
26 de fevereiro de 2024;Hotel com ótimo custo-benefício e bem localizado;Hotel bem localizado. Quarto e banheiro amplos com ótimo isolamento acústico. Equipe cordial e atenciosa. Café da manhã bem servido. Limpeza muito boa.;Apenas de terem me cobrado tudo de uma vez sendo que solicitei o parcelamento em 2 vezes.;8;;;;;;;;
26 de fevereiro de 2024;Bom;Recepção e localização.;O prédio precisaria de alguns reparos. Elevadores, as cortinas dos quartos. Na verdade as instalações internas do prédio.;7;;;;;;;;
25 de fevereiro de 2024;Consumidor;Localização com estacionamento;Xxxxxxxxxxxxcxccxxssççxxxcc;8;;;;;;;;
25 de fevereiro de 2024;Razoável/ruim;As instalações comuns, são reformadas, porém antigo. Café da manhã razoável.;Quarto antigo, com mobília antiga e desconfortável, com cheiro estranho. Apareceu uma barata no quarto assim que entrei na acomodação. Parecia estar parcialmente limpo.;6;;;;;;;;
23 de fevereiro de 2024;Media;Gostei do café da manhã simples mais bem varido;Do sofá que tem na sala de espera muito desconfortável, quando senta ele afunda;8;;;;;;;;
20 de fevereiro de 2024;Apesar da boa localização, a estrutura é antiga, necessitando uma boa manutenção. Os funcionários são super simpáticos.;Localização;O prédio é muito antigo, e carece de melhor manutenção.;7;;;;;;;;
18 de fevereiro de 2024;Bom;Bem localizado;Preço abusivo no carnaval para o que o hotel oferece. Talvez tenha melhor custo benefício em outra época.;7;;;;;;;;
18 de fevereiro de 2024;Foi bastante tranquila e confortável.;O café da manhã é incrível ! com muitas opções disponíveis e saborosas.;Acho que o hotel deveria rever a funcionalidade do elevador. Em alguns momentos não funcionou. E eu tive medo de ficar preso dentro dele. Acho também que deveria haver reforma dos quartos, porque a estrutura é muito antiga.;7;;;;;;;;
17 de fevereiro de 2024;Estadia boa;Café da manhã bom;;;;;;;;;;
"Funcionário Wilson nos tratou muito bem""";Ter que estacionar em outro hotel;7;;;;;;;;;;
16 de fevereiro de 2024;Estadia ok;Gostei da localização e do café da manhã;Limpeza (roupa de cama suja);6;;;;;;;;
15 de fevereiro de 2024;Bom;Localização;Café da manhã sem muita opção. Muito básico;7;;;;;;;;
13 de fevereiro de 2024;Voltaria. Com certeza.;A localização.;;7;;;;;;;;
13 de fevereiro de 2024;Satisfatório;Localização;Estrutura do quarto;6;;;;;;;;
11 de fevereiro de 2024;Muito bem localizado;A cama era muito confortável. Muito bem localizado.;O café da manhã e a escassez de tomadas no quarto;7;;;;;;;;
7 de fevereiro de 2024;Apesar de algumas observações negativas o hospedagem foi ótima.;Reservei 2 quarto, 1 triplo com camas de solteiro super bem confortáveis e 1 casal, com cama king muito confortável também. O café da manhã é ótimo. Muito bem servido.;Um dos banheiros não estava com a limpeza certa, com cabelos no ralo, algumas partes com mofo no quarto. Acredito que podem melhorar nas TV também, pois quem viaja com crianças é indispensável uma tv que pegue canal infantil, ou que tenha acesso aos streamings.;7;;;;;;;;
6 de fevereiro de 2024;Simples;Localização;Acomodação;8;;;;;;;;
4 de fevereiro de 2024;Bom custo benefício, porém precisa de algumas melhorias.;Localização, valor e atendimento doa funcionários.;As camas eram antigas e pouco confortáveis, travesseiros muito finos, banheiro sem box/cortina e com mal cheiro.;6;;;;;;;;
4 de fevereiro de 2024;Bom;Localização e Custo Benefício;;7;;;;;;;;
28 de janeiro de 2024;Muito bom;Apto;Café da manhã. 06:30 falta variis ingredientes frutas;8;;;;;;;;
28 de janeiro de 2024;Bom;vista;Elevador e banheiro;7;;;;;;;;
26 de janeiro de 2024;Muito bom;Limpeza e atendimento são de excelência.;Elevador;8;;;;;;;;
26 de janeiro de 2024;Satisfatório;A localização é boa. O atendimento dos funcionários é boa.;As fotos não refletem a real situação dos quartos. Os quartos são bem antigos, os banheiros com cheiro de mofo. É limpo, mas pelas fotos eu não esperava o que encontrei. Não acho que são 3 estrelas.;6;;;;;;;;
25 de janeiro de 2024;Muito bom;Atende vem pelo valor que é cobrado;;8;;;;;;;;
24 de janeiro de 2024;ótima;Equipe incrível, localização excelente.;Travesseiros e lençóis péssimos.;8;;;;;;;;
23 de janeiro de 2024;Muito bom;Quarto bem espaçoso;Paga estacionamento do próprio hotel;8;;;;;;;;
22 de janeiro de 2024;Bem localizado, mas precisa de melhorias nos quartos;O café da manhã e localização.;O primeiro quarto que peguei estava com problema no ar condicionado, já o segundo, o problema foi o banheiro, antigo e sem ventilação.;6;;;;;;;;
21 de janeiro de 2024;Atende ao custo benefício.;Localização;A cama de casal estava desconfortável, utilizam 2 colchões de solteiro para montar a de casal.;8;;;;;;;;
21 de janeiro de 2024;Satisfatório;Localização;Elevadores sem funcionar de;6;;;;;;;;
19 de janeiro de 2024;Foi legal;Velha mais aconchegante;Muito poeira no quarto que estava;8;;;;;;;;
16 de janeiro de 2024;Incompatível com o preço cobrado;Da internet;Das camas para casal que, o hotel uni duas camas de solteiro e apresenta como sendo uma cama de casal;8;;;;;;;;
15 de janeiro de 2024;Voltaria a me hospedar com certeza!;A localização é muito boa. O hotel é simples mas muito bom, muito limpo, funcionários prestativos. Café da manhã bom e gostoso!;Apenas um elevador estava em funcionamento, então demorava um pouco para atender todos os hóspedes. Mas isso não atrapalhou em nada nossa estadia.;8;;;;;;;;
11 de janeiro de 2024;Foi legal e achei aconchegante o quarto.;O café da manhã.;A garagem.;8;;;;;;;;
9 de janeiro de 2024;Bom;Café ;;;;;;;;;;
"Dorminda e localização""";Elevado quebrado ;;;;;;;;;;;
"Agua faltou""";7;;;;;;;;;;;
9 de janeiro de 2024;Bom;Ótima localização, quartos amplos e funcionários bem gentis e educados.;O elevador vivia com problemas constantes, o ar condicionado parou de funcionar do nada... O café da manhã bastante simples e sem muitas opções.;7;;;;;;;;
8 de janeiro de 2024;Razoável.;Localização, funcionários atenciosos. Apartamento silencioso.;Dos três elevadores, dois viviam quebrados. Uma hospede chegou a ficar presa no elevador social.Ar condicionado não gelava bem, pia do banheiro vazando água. Estacionamento muito apertado e cheio de resto de obras. Recepção com apenas um sofá. Esqueceram de por tapete no banheiro.;6;;;;;;;;
6 de janeiro de 2024;Regular;Localização e custo benefício;Algumas estruturas podem melhorar, exemplo elevador;7;;;;;;;;
5 de janeiro de 2024;Bom;Da localizacao;Do colchão e banheiro sem box;7;;;;;;;;
5 de janeiro de 2024;Muito bom;Localização excelente, funcionários atenciosos, educados e prestativos. O café da manhã também foi ótimo.;No banheiro não havia box blindex, e sim uma cortina. Quando chegamos encontramos apenas duas camas ao invés de 3, mas os funcionários logo resolveram.;8;;;;;;;;
7 de dezembro de 2023;Boa;Bom;Frigobar não estava funcionando;7;;;;;;;;
4 de dezembro de 2023;Bom;;A limpeza dos banheiros...;7;;;;;;;;
23 de novembro de 2023;Muito bom;Localização é limpeza;Pouca opção no café da manhã;8;;;;;;;;
23 de novembro de 2023;Muito bom;Localização a limpeza..!;O café da manhã pouca opção;8;;;;;;;;
21 de novembro de 2023;Boa;Café da manhã já foi melhor, achei sem muitas opções .;Pouca variedade;8;;;;;;;;
6 de novembro de 2023;Excelente acomodação, custo benefício ótimo;O café da manhã foi ótimo, a localização é maravilhosa;O que poderia melhorar o aparelho de ar condicionado, fazia um pouco de barulho, apenas isso.;8;;;;;;;;
23 de outubro de 2023;Satisfatório;A localização é boa, próximo a restaurantes, farmácias, próximo ao Shopping Recife e a duas quadras da praia de Boa Viagem. O hotel fica bem próximo ao Consulado da França no Recife.;Não há tomadas próximo a mesa do quarto, somente ao lado da cama. Há uma área coworking com tomadas logo na entrada do hotel, entretando não é um ambiente tão confortável devido ao movimento de pessoas para participar de reuniões online.;6;;;;;;;;
15 de outubro de 2023;Satisfatório;Boa localização;Não possuía toalhas, tive que esperar a lavanderia terminar de engomar, o quarto com o chão muito sujo. Meu filho que é um bebê ficou com o nariz congestionado.;6;;;;;;;;
8 de outubro de 2023;Hotel razoável, mas o atendente foi excelente.;Localização e atendimento.;Estacionamento;7;;;;;;;;
24 de julho de 2023;Bom;Boa Localização e bom café da manhã;"Camas muito ""moles""";7;;;;;;;;
21 de julho de 2023;Muito bom;Das camas, o café da manhã e a localização;Da assistência dos funcionários, do estacionamento e da limpeza das toalhas;8;;;;;;;;
21 de julho de 2023;Muito bom;Ótimo hotel. Perto da praia. ;;;;;;;;;;
Porém tive um problema com falta de informação com o check in;" mais foi resolvido.""";Tudo dentro na satisfação.;8;;;;;;;;;
9 de julho de 2023;Satisfatório;Bem localizado! Próximo a praça e a praia.;Quarto muito pequeno.;6;;;;;;;;
3 de julho de 2023;Limpeza do quarto e banheiro,;As camas;Pouco lençol,;8;;;;;;;;
30 de junho de 2023;Preocupação;Localização;Faltou água para banho, e a recepção tinha cheiro de fritura. Como se estivesse fazendo comida lá.;6;;;;;;;;
29 de junho de 2023;Muito bom;Boas instalações;A distância do centro da cidade;8;;;;;;;;
6 de junho de 2023;Funcionários INCRÍVEIS! (Ricardo da recepção merece nota mil);o atendimento foi excepcional, todos os funcionários muito bem humorados e educados.;banheiro precisava de manutenção no chuveiro, e o ralo deixava subir um cheiro ruim…;8;;;;;;;;
27 de maio de 2023;Satisfatório;;quarto sem cobertor e papel higiênico. ar condicionado barulhento demais e quartos vizinhos fazendo muito barulho.;6;;;;;;;;
10 de maio de 2023;Muito bom;Café da manhã.;;;;;;;;;;
Higiene.;;;;;;;;;;;;
"Funcionários atenciosos.""";Ar condicionado não estava regulando.;8;;;;;;;;;;
31 de março de 2023;Bom;localidade;garagem, espaço pequeno e antigo;7;;;;;;;;
31 de março de 2023;perfeita seria caso n existisse esse ocorrido;muito boa a sala de jogos, funcionários , café da manhã.;existem moradores no prédio e no quarto q fiquei era vizinho ao de um casal, na madrugada acordei assustada o homem espancando a mulher.;6;;;;;;;;
20 de março de 2023;Bom;A localização;;7;;;;;;;;
12 de fevereiro de 2023;Custo benefício razoável.;Localização;Limpeza. O banheiro não estava bem limpo, tinha cabelo no azulejo do chuveiro e também não tinha tapete no banheiro, então quando se terminava de tomar banho ficava tudo molhado.;7;;;;;;;;
10 de fevereiro de 2023;Muito bom;Do apartamento;Não tem estacionamento suficiente e o café da manhã , frutas muito madura, quase estragadas;8;;;;;;;;
29 de janeiro de 2023;Bom;Localização;;7;;;;;;;;
26 de janeiro de 2023;Hotel com boa localização;Hotel bem localizado.;;;;;;;;;;
Funcionários prestativos;" especialmente a moça que trabalha na cozinha.""";Café da manhã bem fraco. Faltou café (bebida) e precisei avisar que não tinha. Pouquíssima variedade de alimentos. Muito ruim mesmo.;8;;;;;;;;;
23 de janeiro de 2023;Bom;;Apesar de no booking dizer que tem estacionamento, não é certo que terá vaga. A gente precisou estacionar no hotel ao lado pagando 20 reais a diária.;7;;;;;;;;
13 de janeiro de 2023;Atendimento ruim na recepção e barata no quarto.;;Não tinha nenhuma informação no quarto (telefone da portaria , wifi) e no quarto tinha baratas.;6;;;;;;;;
5 de outubro de 2022;Satisfatório;Localização muito boa, quartos limpos, atendimento muito bom.;Acho que deveria ter camas de casal, pois ao contactar o hotel me informaram que tinham apenas cama de solteiro, o que não é tão agradável, principalmente para viagens em casal, como foi o meu caso. Café da manhã também deixou um pouco a desejar, com poucas opções.;6;;;;;;;;
4 de outubro de 2022;regular;;n tinha estacionamento;6;;;;;;;;
9 de agosto de 2022;Bom;;Não tinha agua quente na ducha;;;;;;;;;
Achei a café da manha muito pobre;;;;;;;;;;;;
30 de junho de 2022;Bom custo;Eu quis saber como era a experiência do coliving, o quarto em que me hospedei era bastante agradável, porém, não estava disponível para o coliving, por isso desisti de morar lá. Achei a cama bastante confortável e os funcionários atenciosos principalmente uma moça da recepção.;Achei o café da manhã bastante restrito, deveria haver uma maior variedade. Tapioca, omelete feitos na hora dariam um outro nível ao hotel. Seria bom se aceitasse cachorro pequeno.;7;;;;;;;;
27 de março de 2025;Foi oi ótima.;Não tive.;Estava bom.;10;;;;;;;;
26 de março de 2025;Marromeno;Tudo mais ou menos café b razoável cama muito pequena ar condicionado não funcionou na primeira noite;;5;;;;;;;;
18 de março de 2025;Ruim;Funcionários simpáticos, localização boa.;Falta de itens de higiene (como sabonete) no quarto, além de toalhas, lençóis e da má qualidade do café da manhã.;3;;;;;;;;
12 de março de 2025;Excepcional;Foi muito bom minha estádia;Gostei de tudo;10;;;;;;;;
12 de março de 2025;Caro pra ofertar tão pouco.;Boa localização;Café sem muitas opções. Limpeza ruim, o quarto tinha um mau odor. Atendentes pouco simpáticos. Banheiro sem suporte para papel, louça do banheiro velha.;5;;;;;;;;
12 de março de 2025;Péssimo;;Estacionamento pessimo, quarto pessimo tambem , paguei 190 reais pra ficar num pessimo quarto;1;;;;;;;;
5 de março de 2025;Nao voltarei mais;A cama boa;Os moveis em estado ruim , o chuveiro com pouca agua e sujo! O cafe da manha pesssssiiimmmooo!;5;;;;;;;;
28 de fevereiro de 2025;Fazer melhorias atrai clientes;Precisam melhorar o café da manhã e os colchões de mola já estão gastos também!;;4;;;;;;;;
27 de fevereiro de 2025;.;O recepcionista do domingo é profissional, educado, solicito, proativo.;Da limpeza, da infraestrutura elétrica, do banheiro, dos jogos de cama. O ar condicionado estava sujo que teve uma crise alérgica, tive que ir ao pronto socorro.;2;;;;;;;;
24 de fevereiro de 2025;Otimo custo-beneficio;Os funcionários bem receptivos e educados, quarto amplo, boa localização.;Tivemos um pequeno probleminha com roupas de cama e banho, porém foi resolvido muito rápido e café da manhã com poucas opções.;9;;;;;;;;
19 de fevereiro de 2025;Excepcional;Hospedagem excelente, camas muito aconchegantes, café da manhã muito bom.;;;;;;;;;;
"É principalmente o banheiro com suportes na parede como estou com uma lesão na coluna foi ótimo para mim.""";Não tinha toalhas nem tapetes no banheiro.;10;;;;;;;;;;
17 de fevereiro de 2025;Ruim;Nada;Não tinha o shampoo no banheiro, toalha puída, tapetes de banho faltantes, lençóis encardidos, além de q na recepção não havia uma divulgação de sugestões de lanchonetes para entrega, para quem trabalha na cadeia turística tem de saber, enfim pior experiência q tive.;3;;;;;;;;
13 de fevereiro de 2025;Quarto velho que precisa de revitalização urgentemente.;Localização excelente.;Cama muito ruim, quarto com mal cheiro e banheiro cheirando mal. Não consegui dormir direito com a pessima e velha acomodação.;1;;;;;;;;
12 de fevereiro de 2025;Decepcionante;;Café da manhã péssimo, acomodação velha e suja. Atendimento desagradável, e pra piorar quando você paga a reserva que eles informam que tem uma taxa de 100,00 para pet onde não oferece nada;1;;;;;;;;
12 de fevereiro de 2025;Excepcional;Ponto a localização excelente..;Está precisando fazer reparos nos apartamentos;10;;;;;;;;
12 de fevereiro de 2025;razoável;localização;Instalações antigas do banheiro. Roupa de cama e banho desgastada e restaurante com instalações inadequadas;5;;;;;;;;
8 de fevereiro de 2025;Excepcional;Reservei pra minha mãe e irmã.;;;;;;;;;;
"Elas ficaram muito satisfeita.""";Sim , muito organizado e um bom cafe da manhã.;10;;;;;;;;;;
7 de fevereiro de 2025;Péssima estadia;;Não tinha toalhas. Cobertor. Chuveiro não funcionava. Péssimo café da manhã;3;;;;;;;;
6 de fevereiro de 2025;local otimo;ola! as toalhas bastante usadas, garagem apertada.;garagem;9;;;;;;;;
4 de fevereiro de 2025;Péssima experiência;Bem localizado, na Boa Viagem, ao lado do MC Donalds.;"Atendimento péssimo dos funcionários. Estado do elevador preocupante. Oferecem serviço de estacionamento pago, do qual contratamos e fomos acordados às 7:20h da manhã pois um outro carro havia estacionado numa vaga que impedia um terceiro carro de sair (absurdo!!!!). Chegamos no quarto e não tinha toalhas de banho, tivemos que solicitar 2 vezes para receber (e toalhas de péssima qualidade, extremamente desgastadas) e o ar condicionado tu pode colocar no mínimo e não vai gelar. Quando fomos repassar as reclamações para a atendente ela respondeu: ""a administração já sabe de tudo isso"".";5;;;;;;;;
31 de janeiro de 2025;Péssima;Nada. Quarto sujo, pior café da manhã que fui hotel;Não gostei de nada, hotel sujo, péssimo café da manhã;1;;;;;;;;
21 de janeiro de 2025;O hotel está bem descuidado, o atendimento do hotel é péssimo, somente o pessoal da cozinha que foram simpáticos e solíc;;Faltou toalha de banho e tinha barata no quarto.;;;;;;;;;
"As louças do café da manhã mal lavadas e molhadas.""";5;;;;;;;;;;;
20 de janeiro de 2025;Decepcionante;Atendimento;Várias coisas quebradas;4;;;;;;;;
18 de janeiro de 2025;Bem acolhedora.;Atendimento maravilhoso.;Das toalhas.;10;;;;;;;;
12 de janeiro de 2025;Aceitável;Hotel para passar uma pernoite apenas.;.;5;;;;;;;;
6 de janeiro de 2025;Cafe;Localização;Café;9;;;;;;;;
1º de janeiro de 2025;Fantástico;Atendimento dos funcionários;;9;;;;;;;;
29 de dezembro de 2024;Péssimo;No dia 25/12/2024 quando pesquisamos a reserva era para casal no site !! Não observando chegando no local resolvemos na recepção pagando valor de 01 diária mais o valor da minha acompanhante ficou tudo resolvido , a empresa cobrou duplicidade com diária onde de forma jurídica já estou tomando as medidas cabíveis paguei 02 vezes;Pior Hotel da minha vida !!!;1;;;;;;;;
26 de dezembro de 2024;Fantástico;Gostei!! Confortável!!;;9;;;;;;;;
26 de dezembro de 2024;Boa relação custo/beneficio.;Excelente localização, tarifa acessível, café da manhã muito bom em ambiente agradável, limpeza excelente com funcionários atenciosos.;Houve mudança no valor da diária durante minha permanência, o que me impeliu a fazer nova diária em outro hotel da mesma rede.;9;;;;;;;;
25 de dezembro de 2024;Excepcional;Ótima localização, próximo ao aeroporto.;Acredito que falta ter um cobertor na cama.Dessa forma, poderíamos diminuir a temperatura no ar-condicionado. O lençol é bem fino.;10;;;;;;;;
24 de dezembro de 2024;Excepcional;Localização, limpeza e excelente atendimento.;Ar-condicionado com pouca potência;10;;;;;;;;
23 de dezembro de 2024;Hotel bem antigo, sucateado, porém bem localizado.;Boa localização;Instalações, quarto, ar condicionado, Tv etc;4;;;;;;;;
21 de dezembro de 2024;Excepcional;As acomodações são maravilhosas, ambiente limpo e organizado. Café da manhã excelente.;Nada a declarar;10;;;;;;;;
21 de dezembro de 2024;Aceitável;;buffet do cafe da manha muito franco;5;;;;;;;;
18 de dezembro de 2024;Excepcional;Quarto aconchegante e serviços impecáveis.;;10;;;;;;;;
18 de dezembro de 2024;Excepcional;Fácil localização e aconchegante.;;10;;;;;;;;
15 de dezembro de 2024;Pessima;Nada foi bom;Eu fiquei em uma parte que só fedia a fumaça de cigarro e eu especifiquei que queria ficar em área para não fumantes.;1;;;;;;;;
15 de dezembro de 2024;Excepcional;Atendimento é localização excelente;;10;;;;;;;;
14 de dezembro de 2024;Decepcionante;Nada;Cancelamento de estadia, por dificuldade de comunicação;4;;;;;;;;
13 de dezembro de 2024;Ainda bem que foi só 1 dia.;Café da manhã foi o que salvou a estadia, de resto, horrível.;Primeiro que o estacionamento é pago (25 a diária), e nem vaga tinha, me recomendaram colocar no prédio do lado (paguei 28 para 1 dia). O apartamento com cheiro de morfo misturado com água sanitária, muito seboso. Móveis velhos, travesseiros horríveis. O hotel ainda me deu 1 cobertor (e éramos 2). A sacada toda sebosa com restos de comidas. Horrível, sorte que foi só 1 diária.;2;;;;;;;;
5 de dezembro de 2024;Decepcionado com o quarto.;Do valor. O café muito bom.;Faltou toalha, uma das camas estava com o pé quebrado, não tinha travesseiros extra, os que estavam no quarto eram muito baixinhos.;5;;;;;;;;
27 de novembro de 2024;Decepcionante.;serviço de guarda volume gratuito.;cobrança feita de forma duplicada, colchão ruim, banheiro muito antigo, não tinha tomada 110v no quarto que fiquei.;1;;;;;;;;
26 de novembro de 2024;Não gostamos da estadia e não indicaríamos .;Localização;Roupa de cama aparentemente sujas e toalhas manchadas. O quarto em si estava com aparência suja .;1;;;;;;;;
22 de novembro de 2024;Decepcionante;Somente a localização.;O atendimento deixou a desejar bastante, o quarto é bem simples e sem muito conforto, o banheiro não estava limpo, as camas e lençóis são velhos e desgastos. Café da manhã péssimo e sem nenhuma variedade.;4;;;;;;;;
22 de novembro de 2024;Deixou a desejar na limpeza (Cabelos no banheiro e carpete da escada sujo);Localização.;Deixou a desejar na limpeza (Cabelos no banheiro e carpete da escada sujo);5;;;;;;;;
21 de novembro de 2024;Espero não precisar voltar.;A localização era boa, central, próximo a orla da Praia de Boa Viagem.;Não gostei do fato de não terem me respondido previamente o email com solicitação de check in antecipado. Quando cheguei as 6:00h da manhã, o funcionário que me recebeu, informou que provavelmente o email tenha chegado de modo automático o que não deu para acessar, que poderia me colocar no quarto as 11h. Retornei as 11h e uma outra equipe havia iniciado o turno. A funcionária pediu que eu aguardasse até as 12h para acessar o quarto. 12:30 perguntei se já poderia acessar e a mesma pediu que aguardasse mais um pouco. As 14h realizei meu check in como previsto, mesmo tendo sinalizado no ato da reserva que precisaria acessar os quarto antes do horário. O quarto em que fiquei não tinha tomadas 3 pinos. A cama era desconfortável e o quarto bem apertado. As toalhas não estavam limpas e a agua do chuveiro não esquentava.;2;;;;;;;;
20 de novembro de 2024;Foi boa, mas precisa melhorar.;Gostei da localização, tem um mc'donalds ao lado, um supermercado extra bem próximo tambem. Gostei bastante da educação dos atendentes. São muito educados e solícitos.;1 - não foi passado a senha do wi-fi, então eu não tive nem como acessar a rede do hotel;;;;;;;;;
19 de novembro de 2024;Top;Maravilhosa e quarta perfeito;Neste dia gostei de tudo;10;;;;;;;;
16 de novembro de 2024;Feedback;Da localização do hotel.;A limpeza deixou a desejar, um dia sem limpeza do quarto.;;;;;;;;;
Alguns funcionários pareciam estar mau humorados;" educados mas aparentando problema pois a cara era todo tempo fechada..""";5;;;;;;;;;;
14 de novembro de 2024;Recife a trabalho;Principalmente ótima localização e café da manhã;Da fechadura da porta, q não trancava com facilidade e da falta de espelho de corpo inteiro no quarto.;9;;;;;;;;
12 de novembro de 2024;Excepcional;Hospedagem e café excelente;Garagem carro pago;10;;;;;;;;
3 de novembro de 2024;Muita sujeira;De nada;Tudo muito sujo, as toalhas cedidas estavam muito sujas com marcas de não terem lavadas. Manchas de limpeza de nariz e outras sujeiras. A salvação que levei uma toalha.;1;;;;;;;;
2 de novembro de 2024;Cama ruim, parede com mofo, travesseiro péssimo;Nada;Tudo;1;;;;;;;;
1º de novembro de 2024;Experiência péssima;Localização e preço;Colchão da cama péssimo.;;;;;;;;;
"Café da manhã de segunda qualidade""";4;;;;;;;;;;;
31 de outubro de 2024;Nada bom...;Apenas da localização;A estrutura do hotel é antiga, o café da manhã deixou muito a desejar e a pior situação foi um morador de rua entrar pela manhã, às 8h, abordando os hóspedes, oferecendo produtos, e ainda de servir do buffet de café da manhã! Nenhum funcionário o impediu. Ele entrou e saiu sem nenhuma dificuldade.;1;;;;;;;;
30 de outubro de 2024;Experiência péssima, não recomendo.;Apenas da localização.;Péssima experiência. Eu nunca me hospedei tão mal em um hotel. Os recepcionistas do dia em que me hospedei foram bem mal humoradas e poucos proativas. Eu tive que descer duas vezes para pedir toalhas para tomar banho e mantas (não vem no quarto), o travesseiro é bem pobre e ruim. O banheiro é horrível e fedorento. Para completar tinha muita gritaria de outros hóspedes durante a noite a a madrugada, eu tive que ir na recepção reclamar, o recepcionista depois revelou para o quarto barulhento, que foi eu que reclamou.;3;;;;;;;;
29 de outubro de 2024;Fantástico;Gostei da acomodação café da manhã com muitas variedades tudo muito bom;Achei que o banheiro estava meio zoado precisando de manutenção água não sai pro ralo vem pra parte de fora quando toma banho não tem pra onde escoar;9;;;;;;;;
27 de outubro de 2024;Péssima e decepcionante. Não indico pra ninguém.;Localização.;Quarto velho e com cheiro de mofo. Cama torta e desconfortável. Café da manhã com comidas velhas. As fotos não condizem com o espaço real. Elevador velho. Roupas de cama com cheiro desagradável. Chuveiro com ralo entupido.;1;;;;;;;;
27 de outubro de 2024;Péssimo;De nada.;Fiz a reserva para quarto casal e nós colocaram em um quarto duplo, o quarto estava fedendo os móveis são velhos. O atendimento péssimo, o quarto estava sem toalha de piso e sem lençol fiz o pedido e demoraram 3 horas e ainda tive que ir atrás na recepção várias vezes. Café da manhã não é bom.;1;;;;;;;;
27 de outubro de 2024;Ruim;Localização;Serviço quarto, café da manhã, limpeza, instalações, colchões e roupas de cama e banho;3;;;;;;;;
27 de outubro de 2024;Péssimo;O hotel está localizado em área inóspita. A Portaria não tem segurança noturna. Sem estacionamento, pedi para oerinetar local e me foi oerinetado a estacionar em local claramente inseguro com a presença de dependentes quimícos e muito escuro à noite. Ao final, não fiquei no hotel e pior, eles não aceitaram devolver o valor pago antecipado. Fui mal atendido desde a chegada até o contato final.;;1;;;;;;;;
25 de outubro de 2024;Desagradável;Localização;Atendimento dos funcionários ;;;;;;;;;
Limpeza do quarto ;;;;;;;;;;;;
"Falta de toalhas""";5;;;;;;;;;;;
23 de outubro de 2024;Descontentamento;Apenas a localização;Quarto com aspectos de sujo, foram feitas reformas apenas para cobrir algo que estava quebrado. ;;;;;;;;;
Hotel não tem modernidade ;;;;;;;;;;;;
Da garagem e nos corredores tinha um odor super desagradável. ;;;;;;;;;;;;
Não é um hotel confortável. ;;;;;;;;;;;;
Não é um hotel cuidado;;;;;;;;;;;;
Toalhas são entregues na recepção ;;;;;;;;;;;;
"Quando fizeram a limpeza do meu quarto deixaram a porta aberta.""";1;;;;;;;;;;;
22 de outubro de 2024;Excelente, vou voltar com certeza.;Café da manhã completo, localização excelente !;As tomadas são todas 220, não possuía essa informação, mas pelo que me informaram é toda a cidade.;10;;;;;;;;
21 de outubro de 2024;Excepcional;Localização, café da manhã, e atendimento dos funcionários.;Demora para o check-in, pedi para repor a água do quarto umas 5 vezes e eles não colocaram.;10;;;;;;;;
19 de outubro de 2024;Péssimo;Não fiquei. Procurei outro hotel imediatamente. ;;;;;;;;;;
Inqualificável.;;;;;;;;;;;;
"Lamentável que vcs indiquem esse hotel.""";Não gostei de nada.;;;;;;;;;;;
