data_avaliacao;titulo;comentario_positivo;comentario_negativo;nota;;;;;;;;
20 de dezembro de 2024;A primeira hospedagem foi melhor, esta foi a segunda e ficou a desejar.;Café da manhã regular.;Cama e internet.;7;;;;;;;;
18 de dezembro de 2024;Muito bom;Atendimento.;Demorou um pouco pra liberar nossa entrada no quarto, pois ainda estavam fazendo a limpeza.;8;;;;;;;;
11 de dezembro de 2024;Boa relação custo beneficio;Ótima localização, linda vista panorâmica do bairro, café da manhã básico.;O quarto precisa de manutenção e reparos, ar-condicionado com sinais de mal uso.;7;;;;;;;;
6 de dezembro de 2024;Bom;Gostei do café da manhã, tudo estava bom. Achei que foi o que eu esperava;peguei um quarto virado para a avenida conselheiro aguiar, fazia muito barulho também pq a janela não tem vedação do som (poderia investir nisso).;7;;;;;;;;
6 de dezembro de 2024;Gostei do hotel.;Muito boa localização.Bom café da manhã.Bom preço a diária.;Luminária ao lado da cama não funcionava.Reclamei na portaria mas não adiantou.;8;;;;;;;;
2 de dezembro de 2024;Satisfatório;Proximidade com o aeroporto;Café da manhã muito fraco.;6;;;;;;;;
1º de dezembro de 2024;Boa relação preco /beneficio;Localização e preço;Anbientes precisam de reformas e modernização;7;;;;;;;;
30 de novembro de 2024;Bom;Localização;Acesso aos apartamentos, elevador demora.;7;;;;;;;;
30 de novembro de 2024;Muito bom;;O ar- condicionado vazando o atendente da recepção trocou de quarto.;8;;;;;;;;
28 de novembro de 2024;Bom;Não se aplica;Cama de solteiro;7;;;;;;;;
25 de novembro de 2024;Muito boa;Localização, bom café da manhã, funcionários bem receptivos;Instalação precisa de um melhor cuidado;8;;;;;;;;
22 de novembro de 2024;Razoável.;Atenção dos recepcionistas.;Café da manhã com sucos artificiais,;;;;;;;;;
Colchões cedidos;;;;;;;;;;;;
"Travesseiros de má qualidade.""";6;;;;;;;;;;;
22 de novembro de 2024;Muito bom;Localização próximo o aeroporto. Café da manhã diversificado. Gentileza dos funcionários.;Quarto não possui tomadas padrão para ligar computador;8;;;;;;;;
21 de novembro de 2024;Satisfatório;Hotel corresponde às expectativas com relação ao preço pago. Muito bem localizado. Acomodações do quarto ok.;;6;;;;;;;;
20 de novembro de 2024;Atendeu nossas expectativas.;O café da manhã é maravilhoso, não deixa a desejar. Achei o quarto bem pequeno e simples, mas deu atender as nossas expectativas, a cama é confortável. A localização é ótimo, perto de bares, restaurantes e de muitos dos atrativos turísticos da cidade.;Quarto pequeno e com alguns móveis antigos.;8;;;;;;;;
19 de novembro de 2024;Legal;Café da manhã;Do apartamento que fiquei achei muito apertado e o antes foi maravilhoso mesmo sendo duas camas. De solteiro;7;;;;;;;;
15 de novembro de 2024;Boa.;A localização e o atendimento.;Instalação(quarto). Requer melhoria da parte hidráulica(descarga), fechadura, maior quantidade de cabides fixos e reposicionamento da televisão para os quartos duplos(duas camas de solteiro).;8;;;;;;;;
3 de novembro de 2024;Foi uma estadia muito boa.;Localização, café da manhã, recepção, funcionários.;;8;;;;;;;;
2 de novembro de 2024;Bom;Localização;Precisava trocar os móveis e uma pintura no quarto;7;;;;;;;;
2 de novembro de 2024;Precisa melhorar o café da manhã;Atende;;8;;;;;;;;
31 de outubro de 2024;MARAVILHOSA;CONFORTO DO HOTEL;FALTOU TOALHAS NO BANHEIRO;8;;;;;;;;
31 de outubro de 2024;Ótimo para pernoite;Quarto limpo e arejado. Café da manhã ok.;;;;;;;;;;
