data_avaliacao;titulo;comentario_positivo;comentario_negativo;nota;;;;;;
31 de julho de 2023;Fantástico;Funcionários muito bom;;9;;;;;;
31 de julho de 2023;hotel perfeito para se hospedar;Café da manhã excelente, não faltou nada.;tudo perfeito;9;;;;;;
31 de julho de 2023;Excelente;Localização e cordialidade dos funcionários;;9;;;;;;
31 de julho de 2023;Foi rápida, mais atendeu o que precisávamos!;Sim, confortáveis!!!;Estacionamento, que no local não tem. Fora isso, bom para se hospedar.;8;;;;;;
30 de julho de 2023;Bom;Fomos bem recepcionados pelos funcionários e bom café da manhã.;Toalhas de banho encardidas.;7;;;;;;
30 de julho de 2023;Ótimo custo benefício;Localização, café da manhã,;Banheiro sem funcionar a descarga;7;;;;;;
28 de julho de 2023;Apesar do quarto não atender as expectativas da minha família, gostamos do tratamento recebido e da;Localização excelente.;Os quartos poderiam ter moveis mais modernos e mais novos assim com os banheiros deixaram a desejar.;7;;;;;;
28 de julho de 2023;Razoável, considerando que o quarto precisa de reforma.;Localização;Alguns quartos estão precisando de manutenção, no caso, o primeiro quarto que ficamos está com infraestrutura antiga, precisando de reformas;8;;;;;;
28 de julho de 2023;Considerando a localização e o atendimento da equipe, a hospedagem foi excelente! Só acho que os quartos que precisam de;A localização é excelente! Possível ir caminhando para a praia de boa viagem.;No primeiro dia, colocaram a gente num quarto com a infraestrutura ruim, as trincas das janelas estavam emperrada! Precisa de manutenção na pintura, janelas e portas.;;;;;;;
Na segunda diária fomos para um quarto bem melhor! Estruturas funcionando;" outra realidade.""";8;;;;;;;;
27 de julho de 2023;Muito bom;Localização e café da manhã muito bom.;QUARTO PRECISANDO DE MELHORIAS.;8;;;;;;
27 de julho de 2023;Bom;Café da manhã, localização, atendimento dos funcionários;Estrutura dos quartos (ainda em reforma);7;;;;;;
26 de julho de 2023;Muito bom;Bom custo beneficio;;8;;;;;;
26 de julho de 2023;Muito bom;Pertinho da praia!;;8;;;;;;
25 de julho de 2023;Bom custo benefício;;Lenços e toalhas manchados, não tem cobertor;8;;;;;;
25 de julho de 2023;Bom;Localidade;Check-in com atraso de duas horas;7;;;;;;
24 de julho de 2023;Muito bom;De tudo.;De nada.;8;;;;;;
24 de julho de 2023;Foi ótima;Conforto, atendimento, localização;;9;;;;;;
21 de julho de 2023;Muito bom;Ótima localização!!;.;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
"Nada a declarar""";8;;;;;;;;;
20 de julho de 2023;Bom;A localização é boa, o café da manhã tem opções variadas.;As instalações do hotel deixam a desejar, roupas de cama estão muito velhas e manchadas deixando a impressão de sujeira e desconforto. Também não há estacionamento disponível.;7;;;;;;
19 de julho de 2023;Bom custo benefício, próximo a praia, lojas e restaurantes. Atendimento muito bom, recomendo.;Os atendentes são muitos solícitos, o café da manhã foi muito bom e a localização é ótima. Perto da praia e com acesso fácil a vários pontos da cidade, shopping, lojinhas e restaurantes.;O piso dos corredores é muito antigo e faz muito barulho qdo se transita com malas e as portas dos quartos são muito barulhentas. Como o hotel recebe hóspedes 24 horas várias vezes nos assustamos com os barulhos na madrugada.;8;;;;;;
19 de julho de 2023;Muito bom;Atendimento;Quarto escuro;8;;;;;;
18 de julho de 2023;Bom custo-benefício;A localização é bem próxima à praia, tem chuveiro quente e camas confortáveis. O café da manhã é simples, mas gostoso.;Não tem estacionamento, mas indicam um estacionamento próximo para você guardar o carro.;8;;;;;;
18 de julho de 2023;Fantástico;Atendimento excelente;;9;;;;;;
18 de julho de 2023;Muito bom;Todos muito atenciosos e simpáticos. Gostei do café da manhã e os pratos do dia estava tudo uma delícia.;Não tenho nada para falar de não gostei.;8;;;;;;
17 de julho de 2023;Fantástico;Quarto amplo, boa localização, funcionário educados, sorridentes e receptivos. A área de lazer perto da piscina estava em reforma, mas não inviabilizou o uso da piscina. Café da manhã variado com frutas, proteínas, carboidratos, sucos, cafés, iogurtes, bolos, bolachas, tudo muito gostoso.;;;;;;;;
"Custo-benefício muito bom!""";;9;;;;;;;;
17 de julho de 2023;Muito boa estadia e café da manhã excelente;Localização e funcionários atenciosos;Reposição de sabonetes. Shampoo,;9;;;;;;
16 de julho de 2023;Muito bom;Muito bem localizado e equipe gentil. Serviço de quarto muito gostoso;Elevador lento e pequeno, fazendo demorar muito. Café da manhã forma muita fila por ser um espaço reduzido. Não tem cardápio no quarto;8;;;;;;
15 de julho de 2023;Gostei no geral, fiquei pouco tempo.;Preço bom, bem localizado.;Precisa melhorar a limpeza.;7;;;;;;
14 de julho de 2023;Bom;Quarto grande, mas velho;O Cafe da manhã é bem gostoso, mas o restaurante está precisando de manutenção;7;;;;;;
14 de julho de 2023;Localização nota mil.;Localização excelente, nota 10.;;;;;;;;
"Equipe bastante prestativa e simpática""";Acredito que as instalações precisam de um olhar mais atento, é tudo muito antigo.;;;;;;;;;
"A limpeza precisa ficar atenta ao acúmulo de calcário no chão do banheiro e box.""";8;;;;;;;;;
13 de julho de 2023;Fantástico;Localização;Café sempre estava frio;9;;;;;;
13 de julho de 2023;Se for pensando em custo benefício e localização;Localização;Café da manhã bom, porém a música ambiente alta.;;;;;;;
"Os lençóis rasgados""";7;;;;;;;;;
13 de julho de 2023;Poderia reestabelecer o estacionamento;Tudo! Tem BABY copa, serviços de louças a noite toda,perto da praia,, wi fi;Mão tem estacionamento;9;;;;;;
12 de julho de 2023;Fantástico;Quarto agradável, café da manhã bom.;Poucas toalhas, tv um pouco antiga e quase sem canais.;9;;;;;;
12 de julho de 2023;Bom;;Faltou lençóis;7;;;;;;
10 de julho de 2023;Bom;Ar condicionado funciona ótimo, café da manhã excelente ;;;;;;;;
".""";Piso muito grudento, parece que não foi limpo.;7;;;;;;;;
10 de julho de 2023;Muito bom;Atendimento.;Imóvel bem antigo;8;;;;;;
10 de julho de 2023;Para o custo benefício o hotel é bom;Localização e café;Lençóis antigos, finos;8;;;;;;
10 de julho de 2023;Satisfatória;Café da manhã bom, localização excelente, porém na segunda vez que nos hospedamos ficamos no primeiro andar e havia muito barulho de algumas máquinas ou motores(???) no térreo.,isso incomodou um pouco.;;8;;;;;;
8 de julho de 2023;Razoavel;Localização para meu compromisso;Falta de garagem no predio;7;;;;;;
8 de julho de 2023;Bom;Funcionários atenciosos, café da manhã estava bom, localização boa;Só tem lençol fino, não tem travesseiro extra nem manta, o que deixou a desejar bastante no conforto e não proporcionou uma boa dormida;7;;;;;;
7 de julho de 2023;Foi boa;A recepção dos funcionários foi ótima;;;;;;;;
"Todos bastante gentis""";O café da manhã excelente 😀;8;;;;;;;;
7 de julho de 2023;Boa;O café da manhã é top;Alguns móveis muito antigo, forros de cama sujos e pequenos;7;;;;;;
7 de julho de 2023;Muito boa;Localização e funcionários.;Um barulho na porta causado pelo vento durante a noite, tivemos que escorar uma cadeira na porta.;8;;;;;;
6 de julho de 2023;Foi suficiente para descansar;Não fiquei para o café;Não havia estacionamento no hotel e o meu carro ficou na rua.;8;;;;;;
5 de julho de 2023;Vale a pena o custo benefício!;Do café da manhã;;8;;;;;;
5 de julho de 2023;Agradavel;Café da manhã muito bom, gostoso, bem variado.;;;;;;;;
Funcionários atenciosos e simpáticos.;;;;;;;;;;
"Boa localização.""";Segurança.;;;;;;;;;
"Acesso fácil a qualquer pessoa que entrasse no hotel""";8;;;;;;;;;
5 de julho de 2023;a estadia no meu quarto no hotel Aram, foi simplesmente maravilhosa;O café da manhã é excelente, bem regional, comida para todos os gostos, nada a reclamar. A localização muito boa com acesso fácil a vários pontos turísticos de Recife e, de Pernambuco. Funcionários todos muito atenciosos, hotel de parabéns pela sua equipe.;Não tenho nada a falar.;9;;;;;;
5 de julho de 2023;Uma boa estadia, com bom custo benefício.;Gostei do café da manhã e da localização.;Dos travesseiros e da falta de um cobertor. Tivemos que usar dois lençóis.;7;;;;;;
4 de julho de 2023;Fantástico;Do chuveiro e da cama.;Da máquina do café da manhã que foi desligada.;9;;;;;;
4 de julho de 2023;Fantástico;Localização e gentileza dos funcionários.Bom café da manhã;;9;;;;;;
4 de julho de 2023;Excelente custo benefício. Os funcionários são extremamente atenciosos e educados.;Quarto amplo, arejado, cama confortável, lençóis limpos.;No último dia faltou água no chuveiro (não demorou muito e voltou).;8;;;;;;
3 de julho de 2023;Muito boa. Uma ótima estadia.;O quarto é ótimo bem espaçoso e confortável o banheiro é muito bom também e o café da manhã é uma delícia;De não ter estacionamento privado só isso.;9;;;;;;
3 de julho de 2023;Muito bom!;Organização;nada;8;;;;;;
2 de julho de 2023;Muito bom;Bom café da manhã e localização.;Enxoval de cama e banho manchados, bastante usado. A qualidade deveria ser melhor.;8;;;;;;
2 de julho de 2023;Muito bom;Localização, espaço interno e o café da manhã.;Roupas de cama muito antigas e edredom de péssima qualidade.;8;;;;;;
2 de julho de 2023;Bom;O hotel é bem localizado e os quartos bem amplos.;;7;;;;;;
1º de julho de 2023;Fantástico;Funcionários;;9;;;;;;
1º de julho de 2023;Muito boa!!!!!!;No geral tdo!!!;Demoraram pra recolher uma bandeja do dia anterior…. Achei um certo descaso… porém recomendo!!!!;9;;;;;;
1º de julho de 2023;Bom;Localização;Os lençóis estavam manchados.;7;;;;;;
1º de julho de 2023;;;;9;;;;;;
30 de junho de 2023;Perfeito;Localização. Estrutura e atendimento;;9;;;;;;
29 de junho de 2023;Bom custo benefício;Comida muito boa, tanto o café da manhã quanto o almoço, rua tranquila e silenciosa;Não tem estacionamento, alguns itens precisam manutenção;8;;;;;;
28 de junho de 2023;Excelente;Custo benefício;Achei o quarto muito simples. Pensei que era melhor;7;;;;;;
27 de junho de 2023;Muito bom;Equipe de atendimento muito atenciosa e a localização.;Instalações. Alguns pontos precisam de manutenção. Portas bastante barulhentas.;8;;;;;;
26 de junho de 2023;Fantástico;Hotel, localização e atendimento Pessoal.;O Almoço, fraco e caro,sem muitas Opções.;9;;;;;;
25 de junho de 2023;Descanso e conforto;O atendimento, limpeza, hospitalidade;O prédio é antigo, mas a todo instante vi equipe de manutenção, não tive problemas, mas uma reforma ia cair muito bem. Em geral foi ótimo;9;;;;;;
25 de junho de 2023;Fantástico;Localização e café da manhã;Tudo perfeito;9;;;;;;
25 de junho de 2023;Nota 7 custo - benefício;A localização é ótima, próxima a feirinha, orla, na rua atrás tem opções de comida. Fácil acesso. O café da manhã muito bom e variado.;O quarto tem cheiro de mofo. Tive que pedir para trocar o colchão pq estava afundando de tão usado ( mais fui atendida e trocaram sem problema).;7;;;;;;
24 de junho de 2023;Muito bom;Limpeza e organização.;Senti falta do estacionamento.;8;;;;;;
23 de junho de 2023;Muito bom;Hotel bom!;De nada;8;;;;;;
20 de junho de 2023;boa;;os colchões são muito moles;8;;;;;;
19 de junho de 2023;Muito bom;Excelente localização e café da manhã muito bom também. Recomendo;Não possui estacionamento. O carro fica ma rua.;8;;;;;;
19 de junho de 2023;Muito bom;;Não ter estacionamento para os carros.;8;;;;;;
18 de junho de 2023;Muito bom;Boa instalações, café da manhã excepcional!;;8;;;;;;
17 de junho de 2023;Em geral bim;Localização;Falta de estacionamento;9;;;;;;
15 de junho de 2023;Atendeu minha pernoite, mas se fosse ficar mais dias hospedada, não escolheria esse hotel.;Localização ;;;;;;;;
Atendimento ;;;;;;;;;;
"Café da manhã""";Precisa reformar os móveis do quarto. Tinha uma cadeira de madeira desmontando. Móveis maus conservados.;;;;;;;;;
"Banheiro em péssimo estado de conservação. Precisando de reforma.""";7;;;;;;;;;
15 de junho de 2023;Ótima hospedagem;Excelente hospedagem, ótimo café da manhã e bem localizado. Equipe do hotel nota 10!;A ducha deixou a desejar... a água não esquentava o suficiente. A piscina achei com muito excesso de cloro e a profundidade da piscina em torno de 1,80m é um risco muito grande para quem tem crianças.;8;;;;;;
15 de junho de 2023;Custo-benefício duvidoso;Localização;Colchões com avarias.;7;;;;;;
14 de junho de 2023;Muito bom;Atendimento dos funcionários;O café da manhã poderia melhorar.;8;;;;;;
14 de junho de 2023;custo-benefício;café da manhã e limpeza do quarto,;Muito barulho nos corredores durante a madrugada.;8;;;;;;
13 de junho de 2023;Pode melhorar.;Localização, café da manhã, piscina, ar condicionado e chuveiro.;Cama muito ruim, privada solta do piso, falta lencol. Travesseiro ruim.;8;;;;;;
12 de junho de 2023;Bom;Atendimento, preço e localização.;Não tem um espelho no quarto, apenas no banheiro. A lâmpada do banheiro não ligou à noite. A TV não ligou. Não pedi para consertar na hora, porque não faria muita diferença pra mim, mas acho importante destacar aqui para outros clientes.;8;;;;;;
12 de junho de 2023;Hotel muito bom. Ótimo custo benefício.;A localização é muito boa, perto de tudo. O quarto era amplo com frigobar e as camas são com confortáveis. Ar condicionado novos. Sinal de Internet muito bom. Enfim, de tudo no apto.;Não tem estacionamento disponível.;9;;;;;;
11 de junho de 2023;Bom custo benefício, bem localizado, o único problema é que não tem água quente;;Chuveiro não tem água quente;7;;;;;;
10 de junho de 2023;estadia ótima uma boa localização funcionários muitos educados;comida, pessoal da cozinha, recepção e limpeza.;dos lençóis e travesseiros achei muito fino e pequeno.;7;;;;;;
9 de junho de 2023;Fantástico;A boa localização.;Não notei nada anormal que merecesse registro.;9;;;;;;
9 de junho de 2023;Tirando o serviço de limpeza do quarto, a hospedagem foi muito boa.;A localização é excelente. o café da manhã é muito bom.;Não foi realizada a limpeza do quarto, como solicitado. Mesmo após ter solicitado a troca de toalhas diretamente ao serviço de limpeza, foi preciso ligar para a recepção para ser atendido, após duas horas de espera.;8;;;;;;
6 de junho de 2023;Boa;;Quarto não ter espelho;7;;;;;;
6 de junho de 2023;Fantástico;Resposta rápida aos e-mails. Foram solícitos a necessidade da minha família.;;9;;;;;;
5 de junho de 2023;Muito bom;Atendimento dos funcionários;;8;;;;;;
5 de junho de 2023;Fantástico;Gostei de tudo;Não tenho nada a reclamar;9;;;;;;
4 de junho de 2023;Fantástico;localização, estrutura do quarto.;não ter estacionamento no local (estacionamento em outro local), apenas 1 elevador funcionando!!!;9;;;;;;
2 de junho de 2023;Bom;Gostei do café da manhã e dos quartos;Falta de organização da limpeza dos quartos, funcionários que precisam se capacitar mais. Tv seria boa se tivesse internet. Pelo menos o chuveiro no meu quarto, estava com defeito.;7;;;;;;
2 de junho de 2023;Muito bom;O atendimento dos funcionários é excelente e a localização também. O custo benefício é muito bom.;A estrutura do hotel é antiga, mas apenas nas áreas comuns. Os quartos já estão mais modernizados.;8;;;;;;
31 de maio de 2023;Agradável;Cafe da manhã;Não ter estacionamento;8;;;;;;
30 de maio de 2023;Muito bom;Café da manhã delicioso, mtas variedades;A limpeza deixou a desejar.;;;;;;;
O box do banheiro estava bem sujo;" igual a porta do armário do quarto que tinha mta poeira.""";8;;;;;;;;
30 de maio de 2023;Dias incruveis;Café da manhã bem variado, com frutas, frios, iogurtes, pães, cuzcuz, canjica entre outros.;;8;;;;;;
30 de maio de 2023;Fantástico;;FALTA DE ESTACIONAMENTO;9;;;;;;
29 de maio de 2023;Muito bom;Boa localização, funcionários solícitos. Recomendo pra quem for passar um dia apenas e não tiver nenhum outro canto pra ir (pelo menos sobre o quarto que eu peguei);Café da manhã mais ou menos, lençóis finos, cama um pouco desconfortável.;8;;;;;;
29 de maio de 2023;minha estadia foi maravilhosa , um hotel muito aconchegante , um café da manhã maravilhoso , os funcionários muito atenc;gostei muito da organização do café da manhã! muito bem servido e sempre estão abastecendo .;as roupas de cama e as toalhas deixa um pouco a desejar;9;;;;;;
29 de maio de 2023;Vale a pena Cada dia neste hotel.;Os quartos reformados são top, espaço interno fora do normal.;;;;;;;;
"Funcionários super atenciosos.""";Somente de um dos garçons da cozinha, um mais velho, não tem educação com os hóspedes.;9;;;;;;;;
28 de maio de 2023;ótima localização, café da manhã excelente e funcionários muito atenciosos. Portaria 24 horas ajudou muito ao chegar em;o espaço dos quartos e o café da manhã;poderia ser mais limpo e ter estacionamento;9;;;;;;
26 de maio de 2023;Agradável pela a localização e os funcionários.;Dos funcionários, café da manhã e a localização excelente.;os banheiros do quarto e principalmente os externo do hotel.;7;;;;;;
23 de maio de 2023;De excelência, porém deixa a desejar qnto ao estacionamento.;Da higiene;Não tem estacionamento;9;;;;;;
22 de maio de 2023;Fantástico;O atendimento de modo em geral, gentileza e atenção.;Não havia disponibilidade de endredon ou coberta estava friozinho.;9;;;;;;
21 de maio de 2023;Muito bom;Café da manhã ótimo, localização excelente!;;8;;;;;;
20 de maio de 2023;Muito bom;Os funcionários são a melhor parte do hotel, definitivamente.;;8;;;;;;
17 de maio de 2023;Muito bom;Café da manhã e o atendimento;;8;;;;;;
16 de maio de 2023;Experiência até boa;Atendimento dos funcionários;O chuveiro café da manhã pode melhorar e o quarto pode deixar ele mais escuro um pouco entra muita claridade nele;8;;;;;;
15 de maio de 2023;Custo benefício;Cafe da manha com boa variedades , faltou bolo de rolo e tapioca , localização muito boa , próximo a praia e a pracinha de boa Viagem;Não tem estacionamento privativo , nem opção de um outra local mesmo que pago , o carro passa a noite na rua correndo riscos de assaltos e arrombamento;7;;;;;;
15 de maio de 2023;Bom;Café da manhã muito bom.;Tv do quarto programada pra desligar a casa 2min, ainda pediu cód pra acessar o canal da globo, poucas opções de petiscos no quarto, o lençol tecido estranho. Porém a cama era bem confortável, ar condicionado gelando bem.;7;;;;;;
13 de maio de 2023;Hospedagem Ótima;Ótima localização, café da manhã. Piscina ótima apesar de ter achado pequena. O recepcionista do restaurante (esqueci o nome. Ñ tenho certeza se é Ricardo) muito simpático e prestativo. Foi ótima nossa hospedagem. Pretendo voltar e ja indiquei a amigo.;Da acústica. Se ouve até a descarga do wc do quarto vizinho 😅 hospedes escarrando, arrastando os pés.. srs.. tirando isso, gostei muito da hospedagem, apesar de passarmos só 2 diárias.;9;;;;;;
13 de maio de 2023;Boa estadia;Atendimento, café da manhã, conforto e localização.;As paredes escuras do restaurante.;9;;;;;;
13 de maio de 2023;Bom;Gostei muito do café da manhã e da localização.;Acho que teve reforma recentemente ou ainda estava em reforma. Estacionamento estava interditado, o primeiro quarto tinha um cheiro forte de esgoto e com aparência de sujo, pois haviam respingos de tinta e pó de gesso. Já o segundo quarto, estava com a água muito fraca;7;;;;;;
12 de maio de 2023;Muito bom;Excelente equipe, todos muito educados e atenciosos.;Achei os estofados um pouco sujos no restaurante e tivemos muita dificuldade com as chaves que não funcionavam direito.;8;;;;;;
11 de maio de 2023;Muito bom;Localização;;8;;;;;;
11 de maio de 2023;Fantástico;Localização e conforto;Ausência de estacionamento;9;;;;;;
10 de maio de 2023;Fantástico;Apesar de ter ficado somente um dia, fui ótimo.;;9;;;;;;
8 de maio de 2023;Bom, mas poderia melhorar.;Café da manhã e gentileza dos atendentes.;O quarto não era exatamente como as fotos, apesar de espaçoso , não foi confortável, poderiam melhorar a decoração também .;;;;;;;
"O chuveiro apresentou um problema e não conseguimos mais fechar o registro.""";8;;;;;;;;;
8 de maio de 2023;Muito bom;Custo benefício e localização perfeito! café da manhã variado e farto. Funcionários super atenciosos.;;8;;;;;;
7 de maio de 2023;lugar para dormir bem localizado boa cama e preço justo, nao tem como exigir algo acima da media.;a localização, está a 100 metros da orla, realmente central, o hotel é justo ao preço que cobra, mas nao existe nada acima da media, ponto alto cafe da manha, bem sortido e saboroso.;o hotel ja sente o peso da idade sem reformas consideraveis, mobiliario parou no tempo e banheiro deixa a desejar, soa uitos antigos, mas o preco é low cost e torna o que o hotel honesto ao que oferece;7;;;;;;
7 de maio de 2023;Bom;;Não poder levar sua bebida pra área da piscina .;7;;;;;;
2 de maio de 2023;Bom;localização;necessário reforma;7;;;;;;
2 de maio de 2023;Os funcionários foram muito educados e nos atenderam muito bem. quantos limpos, bem arrumados é bem climatizados. Ótimo;Do espaço físico;nenhuma observação digna de registo;8;;;;;;
30 de abril de 2023;Razoável!;Atendimento da equipe do café da manhã, todos muito gentis.;O cheiro de desinfetante muito forte, além das poucas opções na TV, que só ligou nos canais abertos.;7;;;;;;
29 de abril de 2023;Fantástico;O café da manhã é ótimo muita variedades. ;;;;;;;;
"A cama é ótima também muito confortável""";Poderia ter água quente no banheiro. Os preços da água é muito caro no frigobar;9;;;;;;;;
28 de abril de 2023;Fantástico;Simpatia sensacional de todos os funcionários , excelente localização bem próximo aeroporto, comércios, mercados , limpeza ótima !;Chuveiro;9;;;;;;
24 de abril de 2023;Melhor custo benefício.;Limpeza dos quartos e do hotel excelente...;;;;;;;;
Piscina super limpa.;;;;;;;;;;
Funcionários super gentil.;;;;;;;;;;
"Café da manhã com poucas opções mas nada a reclamar l.""";Nada a reclamar. Melhor custo benefício.;8;;;;;;;;
22 de abril de 2023;Com certeza voltaria;Quarto e café da manhã excelentes;As cortinas não cobrem toda a janela de forma que muito cedo o clarão toma conta do quarto. Os travesseiros também não são tão bons.;8;;;;;;
21 de abril de 2023;parabéns pelo atendimento do Renato, fez toda a diferença!!!!;lençóis;do ar condicionado ao lado da cama o barulho do compressor;7;;;;;;
17 de abril de 2023;Bom;Café da manhã.;Não ter estacionamento e tive que validar várias vezes o cartão do apartamento.;7;;;;;;
16 de abril de 2023;AGRADÁVEL;BOM CAFÉ DA MANHÃ;ELEVADOR MUITO LENTO;;;;;;;
"CHAVE (CARTÃO) DESMAGNETIZOU VÁRIAS VEZES""";7;;;;;;;;;
15 de abril de 2023;Confortável;Excelente localização perto da feirinha, praia e restaurantes.;Nda;8;;;;;;
15 de abril de 2023;Bom;Café, Baby cyte;Cama;7;;;;;;
15 de abril de 2023;Muito bom;custo benefício;;8;;;;;;
14 de abril de 2023;Otimo custo beneficio;O hotel é bom, atende perfeitamente, boa localização, café da manhã muito bom, o que precisa melhorar é a cama de solteiro, no caso de ter a 3 pessoa, cama ruim;Da cama de solteiro, ruim para 1 adulto dormir;8;;;;;;
14 de abril de 2023;muito boa ..;espaçosa, bons colchões…;chuveiro : crivo não distribuía bem a água;9;;;;;;
10 de abril de 2023;Excelente localização. Funcionários bem treinados;Quarto amplo e confortável;Banheira em manutenção. Sem estacionamento;9;;;;;;
3 de abril de 2023;Bom;Café bom e quartos amplos .;02 elevadores , muitos apartamentos de hospedagem. 2 , para hóspede e serviços. Alguns momentos de pico extressantes.;7;;;;;;
2 de abril de 2023;Foi uma boa estádia!;Quarto espaçoso, boas luzes, quarto limpo, ótimo café da manhã, gostamos de como o ar-condicionado funciona!;o chuveiro precisa ser trocado, os travesseiros precisam ser melhores, a piscina não estava tão limpa, mas a estadia foi muito boa, tranquila;8;;;;;;
29 de março de 2023;Bom;Boa localização ;;;;;;;;
"Funcionários muito bons""";Faltou tv smart;;;;;;;;;
"Uma das camas era muito mole""";7;;;;;;;;;
26 de março de 2023;super recomendo;a localização;não possui estacionamento;9;;;;;;
22 de março de 2023;Muito bom;Atendimento dos funcionários, ótimo café da manhã e localização do hotel.;As instalações precisam de algumas reformas pontuais.;8;;;;;;
22 de março de 2023;Ótimo custo benefício;Funcionários atenciosos e sempre prontos a ajudar, café da manhã muito diversificado e a localização do hotel é ótima, facilitando o acesso a praia de Boa Viagem e o deslocamento para outros locais.;Alguns quartos precisam de revitalizações e manutenção básica.;8;;;;;;
14 de março de 2023;Viagem a recife;Quartos espaçosos boas camas e limpos;não tem garagem e se deixar na rua seu veículo, irão furtar os limpadores de para brisa ou coisa pior;8;;;;;;
11 de março de 2023;Muito bom;Bom!!;;8;;;;;;
11 de março de 2023;Fantástico;Funcionários muito educados e cordiais;;9;;;;;;
9 de março de 2023;Muito bom;CAFÉ DA MANHÃ RAZOAVEL.;SEM ESTACIONAMENTO PARA CARRO.;8;;;;;;
9 de março de 2023;Bom;Funcionários solícitos, café da manhã ótimo.;;7;;;;;;
6 de março de 2023;Fantástico;;Precisa melhorar o blecaute, muito claro pela manhã.;9;;;;;;
2 de março de 2023;Fantástico;Excelente localização. ;;;;;;;;
A recepção dos funcionários muito educados e prestativos ;;;;;;;;;;
"O Renato do restaurante é uma pessoal surreal de simpatia de boas energias.""";Tudo dentro das anomarlidades;9;;;;;;;;
2 de março de 2023;ambiente tranquilo e confortável;quarto limpo, ambiente tranquilo, um rapaz chamado renato no recebeu no café da manhã, super simpático;não ter estacionamento;9;;;;;;
1º de março de 2023;Ótimo custo-benefício.;O quarto era bem amplo e limpeza bem feita, o café da manhã tinha muitas opções e a localização excelente.;A porta do meu quarto precisava forçar pra fechar ao sair, parecia estar com problema na fechadura, além disso meu cartão foi bloqueado sem motivo aparente, gerando transtorno para liberar o acesso novamente. Algumas peças da roupa cama estavam com manchas rosadas.;8;;;;;;
27 de fevereiro de 2023;Razoável;localização;A água não funcionava direito. Estava com baixa pressão no chuveiro e nas torneiras.;7;;;;;;
23 de fevereiro de 2023;Muito bom;A localização era muito boa e os atendentes eram maravilhosos!;Tivemos que trocar de quarto pois estava com muito mofo e isso nos causou uma alergia. Mas a equipe foi bastante solicita e resolveu o problema.;8;;;;;;
22 de fevereiro de 2023;Muito bom;;café da manhã bom, mas poderia ter mais opções.;8;;;;;;
18 de fevereiro de 2023;Custo benefício bom.;Tamanho do quarto, ar condicionado, frigobar.;;;;;;;;
"Localização: perto de tudo. Funcionários educados. Café da manhã variado.""";Roupa de cama velha. Chuveiro não esquenta muito e sai pouca água. O check out poderia ser um pouco mais tarde. Localização: avenidas próximas muito movimentadas e barulhentas. Restaurante com pouca variedade de comidas típicas.;7;;;;;;;;
17 de fevereiro de 2023;Super tranquila.;localização, limpeza.;achei os colchões um pouco velhos, as molas já estavam bem desgastadas. Porem ainda considero uma boa acomodação!;9;;;;;;
17 de fevereiro de 2023;Retornarei, sem dúvida.;Café da manhã excelente, com muita variedade. Muito próximo da praia.;;9;;;;;;
13 de fevereiro de 2023;Bom;Apartamento bom só que necessita de algumas reformas como porta do banheiro que não fecha,box que vaza a água e o registro do chuveiro quebrado.Demais coisas nos conformes.;;7;;;;;;
13 de fevereiro de 2023;Muito bom;Recepção e atendimento, não consigo avaliar mais, pois fiquei pouquíssimo tempo;Café da manhã, e arrumação do quarto;8;;;;;;
13 de fevereiro de 2023;Bom;Localização;Falta de estacionamento, móveis bastante antigos e travesseiros desconfortáveis;7;;;;;;
10 de fevereiro de 2023;Muito bom;Conforto;;8;;;;;;
10 de fevereiro de 2023;Bom;Localização excelente, funcionários muito solícitos e simpáticos. Quartos simples, porém espaçosos, tudo novinho, cama confortável. ;;;;;;;;
Pelo preço; vale;" mas poderia melhorar alguns itens.""";- Limpeza deixou um pouquinho a desejar, chão com areia;;;;;;;
- Tábua do vaso quebrada!!! ;;;;;;;;;;
#NOME?;;;;;;;;;;
#NOME?;;;;;;;;;;
#NOME?;;;;;;;;;;
#NOME?;" não tem suco de frutas só de """"pozinho"""".""";7;;;;;;;;
3 de fevereiro de 2023;Bom;Recepção.;;;;;;;;
"Limpeza""";Restaurante muito a quem atendimento e alimentação, péssima experiência. ;;;;;;;;;
;;;;;;;;;;
"Café da manhã pouca opção de proteína.""";7;;;;;;;;;
1º de fevereiro de 2023;Muito bom;Localização;Estrutura do quarto.;8;;;;;;
30 de janeiro de 2023;foi ótimo!;café da manhã excelente;pouca iluminação no quarto, deveria ser mais iluminado;9;;;;;;
28 de janeiro de 2023;Fantástico;Café da manhã, Área da piscina, e quarto.;Elevador;9;;;;;;
27 de janeiro de 2023;é um hotel de bom custo benefício para poucos dias;acomodações de padrão básico;;7;;;;;;
26 de janeiro de 2023;Muito boa.;;Falta de estacionamento.;8;;;;;;
25 de janeiro de 2023;Bom;Excelente cafe da manhã, localização em Boa Viagem e receptividade dos funcionários.;O hotel recebe excursões de todo tamanho, isso pode complicar sua estadia em relação ao uso do elevador, piscina e demais acomodações.;7;;;;;;
24 de janeiro de 2023;Bom;Localização excelente.;O lençol na cama poderia ser outro. Tinha aspecto velho e com manchas.;7;;;;;;
22 de janeiro de 2023;Valeu pelo custo/benefício.;Localização e café da manhã.;Tivemos que mudar de apartamento em virtude do mal cheiro exalado pelo colchão de casal.;8;;;;;;
