data_avaliacao;titulo;comentario_positivo;comentario_negativo;nota;;;;;;;;;;;;;;;;;;;;;;;;;
4 de janeiro de 2025;Muito agradável em termos gerais;Funcionários muitos atenciosos;Cortinas não permitem que fiquemos a dormir um pouco mias deixa entrar o sol.;10;;;;;;;;;;;;;;;;;;;;;;;;;
3 de abril de 2025;Muito bom;Localização ótima, todavia por ser um hotel antigo, não tinha ducha higiênica e estava entrando mau cheiro pelo ralo. Café bom;;8;;;;;;;;;;;;;;;;;;;;;;;;;
3 de abril de 2025;Bom;O espaço do quarto é ótimo e a localização é excelente;Café da manhã ruim, poucas opções e comidas frias. Achei a cama muito mole, mas há quem goste.;7;;;;;;;;;;;;;;;;;;;;;;;;;
2 de abril de 2025;Muito bom;Não gostei da academia.;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Gostei dos funcionários.""";;8;;;;;;;;;;;;;;;;;;;;;;;;;;;
2 de abril de 2025;Tendo oportunidade voltarei com certeza;Localização, atendimento das pessoas excelente e quartos amplos;;8;;;;;;;;;;;;;;;;;;;;;;;;;
1º de abril de 2025;Muito bom;Localização muito boa. Perto da praia, restaurantes e bares.;;8;;;;;;;;;;;;;;;;;;;;;;;;;
1º de abril de 2025;Hotel atende nos requisitos principais: Boa localização;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A decepção foi que a Recepção não tem acesso as câmaras e só recebeu a reclamação para repassar a Gerência do Hotel que chegaria somente no outro dia; pela manhã. No dia 26mar( quarta-feira) pela manhã; já fazendo o check out; a Recepção ainda não tinha resposta sobre nossa mala; nem o Gerente tinha chegado ao Hotel para verificar as câmaras; etc; etc...Enfim; até agora; ainda não recebemos do Hotel;" qualquer situação sobre a recuperação da nossa mala.""";7;;;;;;;;;;;;;;;;;;;
27 de março de 2025;Bom;Boa localização.;Café da manhã, estrutura antiga sem manutenção em corredores, .;7;;;;;;;;;;;;;;;;;;;;;;;;;
26 de março de 2025;Custo benefício bom;Quarto simples, mas justo no custo benefício.;;7;;;;;;;;;;;;;;;;;;;;;;;;;
26 de março de 2025;Satisfatório;;Academia ruim, agendamento do horário p buscar o carro na garagem não funcionou, cama muito mole;6;;;;;;;;;;;;;;;;;;;;;;;;;
26 de março de 2025;Tranquila;Localização;Cama;8;;;;;;;;;;;;;;;;;;;;;;;;;
25 de março de 2025;Hel;Localização, não tinha toalhas mas logo,logo providenciaram.;Tudo satisfatório.;7;;;;;;;;;;;;;;;;;;;;;;;;;
25 de março de 2025;Foi uma estadia necessária, porém não atendeu minhas expectativas.;Atendimento e café da manhã.;É um prédio bonito, porém por ser antigo è visível que precisa de reparos e manutenções.;;;;;;;;;;;;;;;;;;;;;;;;;;
As fotos do hotel estava bem diferente do que foi visto pessoalmente.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Não tem estacionamento.""";6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25 de março de 2025;Satisfatório;Localização;cheiro de cigarro no corredor de carpet e o colchão muito mole.;6;;;;;;;;;;;;;;;;;;;;;;;;;
24 de março de 2025;Falta de compromisso com o cliente.;É a segunda vez que vou. Sendo que a primejra vez que foi na primeira semana nao houve liberacao wifi no meu quarto mesmo pedindo pra verificar e e mesmo pedindo a teoca do quarto que nao foi efetuada, os funcionaruos que entfei em contato em nenhum momento se envolveram na situacao. Para trabalho achei uma experiencia horrivel.;É a segunda vez que vou. Sendo que a primejra vez que foi na primeira semana nao houve liberacao wifi no meu quarto mesmo pedindo pra verificar e e mesmo pedindo a teoca do quarto que nao foi efetuada, os funcionaruos que entfei em contato em nenhum momento se envolveram na situacao. Para trabalho achei uma experiencia horrivel.;6;;;;;;;;;;;;;;;;;;;;;;;;;
24 de março de 2025;Valor satisfatório pelo que oferece;Localização;Móveis antigos, cortina suja, cama desconfortável;6;;;;;;;;;;;;;;;;;;;;;;;;;
24 de março de 2025;Foi boa;Muito bom;Os móveis do quarto estão um pouco mal conservados;8;;;;;;;;;;;;;;;;;;;;;;;;;
24 de março de 2025;Bom;Localização;Atendimento dos recepcionista homens, limpeza do quarto, café da manhã;7;;;;;;;;;;;;;;;;;;;;;;;;;
24 de março de 2025;Bom;Localização;Camas, travesseiro e cafe da manhã;7;;;;;;;;;;;;;;;;;;;;;;;;;
22 de março de 2025;Boa;Perto dos lugares essências, como farmácia, mercado ,restaurante,praia...;Alguns funcionários podiam ser simpáticos;7;;;;;;;;;;;;;;;;;;;;;;;;;
21 de março de 2025;Muito bom;Lugar tranquilo, agradável,tem um ótimo mercado logo ao lado,além de ser perto da praia de boa viagem;Café pode melhorar,colocar suco natural,frutas da época são mais em conta;;;;;;;;;;;;;;;;;;;;;;;;;;
"Pedintes aos arredores que não é culpa do hotel""";8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
