data_avaliacao;titulo;comentario_positivo;comentario_negativo;nota;;;;;;;;;;;;;;;;;;;;;;;;;
4 de janeiro de 2025;Muito agradável em termos gerais;Funcionários muitos atenciosos;Cortinas não permitem que fiquemos a dormir um pouco mias deixa entrar o sol.;10;;;;;;;;;;;;;;;;;;;;;;;;;
3 de abril de 2025;Muito bom;Localização ótima, todavia por ser um hotel antigo, não tinha ducha higiênica e estava entrando mau cheiro pelo ralo. Café bom;;8;;;;;;;;;;;;;;;;;;;;;;;;;
3 de abril de 2025;Bom;O espaço do quarto é ótimo e a localização é excelente;Café da manhã ruim, poucas opções e comidas frias. Achei a cama muito mole, mas há quem goste.;7;;;;;;;;;;;;;;;;;;;;;;;;;
2 de abril de 2025;Muito bom;Não gostei da academia.;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Gostei dos funcionários.""";;8;;;;;;;;;;;;;;;;;;;;;;;;;;;
2 de abril de 2025;Tendo oportunidade voltarei com certeza;Localização, atendimento das pessoas excelente e quartos amplos;;8;;;;;;;;;;;;;;;;;;;;;;;;;
1º de abril de 2025;Muito bom;Localização muito boa. Perto da praia, restaurantes e bares.;;8;;;;;;;;;;;;;;;;;;;;;;;;;
1º de abril de 2025;Hotel atende nos requisitos principais: Boa localização;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A decepção foi que a Recepção não tem acesso as câmaras e só recebeu a reclamação para repassar a Gerência do Hotel que chegaria somente no outro dia; pela manhã. No dia 26mar( quarta-feira) pela manhã; já fazendo o check out; a Recepção ainda não tinha resposta sobre nossa mala; nem o Gerente tinha chegado ao Hotel para verificar as câmaras; etc; etc...Enfim; até agora; ainda não recebemos do Hotel;" qualquer situação sobre a recuperação da nossa mala.""";7;;;;;;;;;;;;;;;;;;;
26 de novembro de 2023;Muito bom;Localização e comodidades. Mais ou menos próximo ao aeroporto.;Limpeza;8;;;;;;;;;;;;;;;;;;;;;;;;;
25 de novembro de 2023;Muito bom;Hotel bem localizado e funcionários prestativos.;Instalações ruins. Quarto com parede descascando, piscina interditada e local do café da manhã com ar condicionado quebrado.;8;;;;;;;;;;;;;;;;;;;;;;;;;
24 de novembro de 2023;Acho que vale a pena para quem não pensa muito em ficar no hotel, ou seja, se for para dormir apenas;Localização foi o ponto mais forte.;Os quartos precisam de uma ajeitada, parecem um pouco abandonados com relação a manutenção. As toalhas de qualidade não tão boas, e os barulhos do ar condicionado atrapalha um pouco.;7;;;;;;;;;;;;;;;;;;;;;;;;;
24 de novembro de 2023;Muito bom;Localização excelente e o café da manhã é muito bom , com bastante variedade . Funcionários Gabi e Junior muito atenciosos;Instalações um pouco antigas mas nada que desabonasse a estadia .;8;;;;;;;;;;;;;;;;;;;;;;;;;
24 de novembro de 2023;Tudo impecável, quarto bem organizado, cama confortável , funcionários super educados.;Tudo impecável, quarto bem organizado, cama confortável , funcionários super educados.;Café da manhã que achei que poderia ser melhor, mas o básico do dia a dia tem e estava gostoso. Achei o café da manhã bem resumido!;8;;;;;;;;;;;;;;;;;;;;;;;;;
23 de novembro de 2023;Bom;;Cafe da manhã;7;;;;;;;;;;;;;;;;;;;;;;;;;
23 de novembro de 2023;Excelente opção dentro da faixa de preço que desejava.;A localização é muito boa, e o preço é compatível com as acomodações. O quarto é confortável e tudo funciona perfeitamente.;O café da manhã poderia ter mais opções de frutas, e a TV só pega o sinal da TV aberta, pois não é smart. ;;;;;;;;;;;;;;;;;;;;;;;;;;
"Mas nenhuma dessas observações compromete a hospedagem. É uma opinião pessoal minha.""";8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23 de novembro de 2023;Instalações antigas e precisando de atualizações.;Localização e atendimento.;Estrutura bem antiga, paredes e móveis manchados. Pouca roupa de cama, somente 2 travesseiros, tudo bem antigo e poído, o lençol tinha até furos. O ar condicionado parecia super antigo e fazia muito barulho.;7;;;;;;;;;;;;;;;;;;;;;;;;;
23 de novembro de 2023;Como foi só uma diária, aguentamos.;Ampla e limpa.;Casal de 80 anos nos fizeram subir dois lances de escada, inclusive carregando as malas. O elevador vai até o 11º e nos colocaram no 12º andar.;7;;;;;;;;;;;;;;;;;;;;;;;;;
21 de novembro de 2023;Localização ótima a estadia é ok, básica.;Localização;;6;;;;;;;;;;;;;;;;;;;;;;;;;
21 de novembro de 2023;Custo benefício;Silêncio e do atendimento feito no checkout por duas atendentes que estão em treinamento;Mobília;8;;;;;;;;;;;;;;;;;;;;;;;;;
21 de novembro de 2023;Intransigência, pouca empatia com as necessidades do cliente.;Sim gostamos, no geral, mas, quando pedimos, por necessidade, para que se estendesse uma dia fomos ignorados ou cobrado tal absurdo como se não fosse interessante a nossa permanência como clientes.;Da forma ignorada quanto a nossa necessidade de ficar por mais um tempo com uma hospedagem(pagando) para tomar banho e guardar as bagagem antes da viagem. Sinceramente, eu só me hospedarei neste hotel outra vez se não houver outra possiblidade.;8;;;;;;;;;;;;;;;;;;;;;;;;;
20 de novembro de 2023;Não achei o custo-benefício legal.;Da localização.;Não tem estacionamento no próprio hotel. O que tem é na rua de trás e mediante pagamento de diárias. Alguns carros ficam estacionados na rampa da recepção, de maneira equivocada. O café da manhã não tinha muita variedade.;6;;;;;;;;;;;;;;;;;;;;;;;;;
20 de novembro de 2023;Hotel bom, mas precisando de melhorias;Localização, atendimento e limpeza dos quartos.;Café da manhã com poucas opções e algumas instalações precisando de reforma.;7;;;;;;;;;;;;;;;;;;;;;;;;;
20 de novembro de 2023;Pode melhorar por ser uma rede de Hotel;Cordialidade dos funcionários( especialmente a equipe de treinamento Júnior;;;;;;;;;;;;;;;;;;;;;;;;;;;
19 de novembro de 2023;Satisfatório;Funcionários atenciosos;Instalações antigas e defeituosas.;;;;;;;;;;;;;;;;;;;;;;;;;;
Café da manhã com pouquíssima opção.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Toalhas finas.""";6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18 de novembro de 2023;Hotel de bom custo benefício para aproveitar a praia.;Café da manhã simples e bom, localização excelente a duas quadras da praia e de frente para um supermercado, quarto espaçoso com duas camas e mesa para trabalho, banheiro confortável com box grande, funcionários atenciosos e prestativos, elevador panorâmico com vista das redondezas.;Um pequeno incômodo sobre o box do banheiro é que a água não escoa direito e ocorre acúmulo. O sinal do wi-fi era bem instável e muitas vezes tive que recorrer aos dados do celular para trabalhar. A luz do banheiro masculino da piscina não ilumina o chuveiro. Como fica em uma avenida movimentada, o barulho do trânsito pode incomodar.;8;;;;;;;;;;;;;;;;;;;;;;;;;
17 de novembro de 2023;Muito bom;Localização e custo benefício;Banheiro vazamento do andar de cima;8;;;;;;;;;;;;;;;;;;;;;;;;;
17 de novembro de 2023;Não recomendo.;Café da manhã repetitivo, sem muitas opções de frutas, custavam repor o que ia faltando.;Da higiene, não trancaram lençóis nem uma vez em 04 diárias. Lençóis e toalhas bem desgastados, ar condicionado vazando;6;;;;;;;;;;;;;;;;;;;;;;;;;
16 de novembro de 2023;Muito bom;Do elevador e da localização;Do colchão, e da falta de ducha higiênica no banheiro;8;;;;;;;;;;;;;;;;;;;;;;;;;
16 de novembro de 2023;Passei apenas um dia e atendeu minhas expectativas;Bem localizado;Café da manhã simples e com poucas opções;8;;;;;;;;;;;;;;;;;;;;;;;;;
16 de novembro de 2023;Boa localização, mas prédio antigo.;Boa localização e bom custo-benefício;Prédio antigo, elevador panorâmico quente (estufa), banheiro é velho e escuro. Café da manhã razoável.;7;;;;;;;;;;;;;;;;;;;;;;;;;
16 de novembro de 2023;Instalações antigas, café simples, vale a pena pelo custo benefício de localização mas apenas para estadias rápidas.;Localização;Ar do quarto e da área do café não gelava direito.;7;;;;;;;;;;;;;;;;;;;;;;;;;
15 de novembro de 2023;Ótimo custo benefício;Localização;Cama com molas muito macias, gerando dor nas costas;8;;;;;;;;;;;;;;;;;;;;;;;;;
14 de novembro de 2023;Bom;Localização;Café da manhã poderia ser um pouco melhor.;7;;;;;;;;;;;;;;;;;;;;;;;;;
14 de novembro de 2023;Satisfatório;Localização;Deixei um carregador de celular no quarto e o pessoal disse que não encontrou. Não consegui falar com o hotel via telefone, só via e-mail.;;;;;;;;;;;;;;;;;;;;;;;;;;
"O carregador é de um S23 ultra. Brasileiro é complicado para não falar outra coisa.""";6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14 de novembro de 2023;Melhor localização da vida;A localização é o ponto forte do hotel. No primeiro dia pegamos um quarto q era virado pra o sol (1007), muito quente, de manhã o sol no quarto, não tinha cortina que desse conta. Pedimos pra trocar de quarto e nos atenderam prontamente, colocando em um muito melhor.;Café da manhã deixa muito a desejar, passei 3 dias hospedada e era a mesma coisa todo dia!!!! Bem básico, café e pão.;7;;;;;;;;;;;;;;;;;;;;;;;;;
14 de novembro de 2023;Satisfatório;;Café da manhã pode melhorar opções;6;;;;;;;;;;;;;;;;;;;;;;;;;
13 de novembro de 2023;Pela localização com luxo zero vale a pena;A localização é muito boa e os funcionários bem hospitaleiros.;Deveriam reformar o hotel, bem antigo. Limpeza mediana e café da manhã fraco.;8;;;;;;;;;;;;;;;;;;;;;;;;;
13 de novembro de 2023;Muito bom;Custo Benefício e Café manhã BONS;;8;;;;;;;;;;;;;;;;;;;;;;;;;
13 de novembro de 2023;Desgastante. Hotel nao atende telefone.;Localizaçao muito boa. Ao lado tem um carrefour com varias lojas, costureira, salao de beleza, etc;Tive um problema bem desgastante com a reserva. O valor foi efetuado no cartao alguns dias antes, mas o booking me enviou mensagem informando que se eu nao pagasse a reserva cairia em 1h. O hotel nao atende telefone. O hospede nao consegue falar com a recepcao. Foi bem desgastante, nao gostei disso. O hotel esta com as instalações meio abandonadas (academia, banheiro, entre outros). Mas o mais desgastante foi a impossibilidade de comunicação. Equipe da recepcao me informou que o telefone fixo é apenas para comunicaçao interna.;6;;;;;;;;;;;;;;;;;;;;;;;;;
13 de novembro de 2023;Satisfatório;Ótima ducha, e espaço adequado. A localização é ótima, próximo de Carrefour, farmácias, restaurantes e da praia da Boa Viagem (2 ou 3 quarteirões).;É um hotel OK. A cama não era das melhores, e não foram repostas de forma correta a toalha de piso e a toalha de rosto. ;;;;;;;;;;;;;;;;;;;;;;;;;;
O café da manhã achei simples;" geralmente as mesmas opções.""";6;;;;;;;;;;;;;;;;;;;;;;;;;;;
13 de novembro de 2023;Boa localização;Gostei muito da localização.;Fiquei 4 diárias e minhas toalhas não foram trocadas nenhuma vez, o café da manhã também é bem fraco é tudo industrializado e não tem opções de suco natual.;8;;;;;;;;;;;;;;;;;;;;;;;;;
12 de novembro de 2023;Bom;Localização perfeita, mercado em frente, 2 quadras da praia.;Funcionários não simpáticos, deixa a desejar na limpeza principalmente das areas comuns, recepção...;;;;;;;;;;;;;;;;;;;;;;;;;;
Os quartas tem cortina manchada; despencada; tv não funcionava no quarto de um amigo de trabalho e mesmo solicitado;" ninguém deu atenção para verificar.....""";7;;;;;;;;;;;;;;;;;;;;;;;;;
11 de novembro de 2023;Bom;Bom café, boa localização.;;7;;;;;;;;;;;;;;;;;;;;;;;;;
11 de novembro de 2023;Bom;O quarto é espaçoso, com mesinha e banheiro grande também.;Vários detalhes no quarto dão aparencia de ser velho e sujo, o forro do teto estava com aberturas e pó, insetos, paredes manchadas, saia da cama de plástico manchadas, toalhas também com algumas manchas.;7;;;;;;;;;;;;;;;;;;;;;;;;;
11 de novembro de 2023;LG INN;Localização;Instalações antigas demais, café sem variedades, travesseiros velhos.;6;;;;;;;;;;;;;;;;;;;;;;;;;
10 de novembro de 2023;Muito bom;DA LOCALIZAÇÃO, DA LIMPEZA.;DO CAFÉ DA MANHÃ QUE PODERIA SER BEM MAIS COMPLETO EM RELAÇÃO AO PREÇO DA DIÁRIA. E OS AR-CONDICIONADOS ESTÃO PRECISANDO DE MANUTENÇÃO. ENTÃO A MAIORIA SÓ VENTILANDO.;;;;;;;;;;;;;;;;;;;;;;;;;;
A PISCINA ENTROU EM MANUTENÇÃO E NÃO RECEBEMOS AVISOS SEJA VIA E-MAIL OU TELEFONE;" PREVIAMENTE.""";8;;;;;;;;;;;;;;;;;;;;;;;;;;;
10 de novembro de 2023;Muito bom;;Não recebi minha nota fiscal no check out, informaram que chegaria por e-mail, conferi o e-mail e estava correto, porém a nota fiscal não chegou. Falta de respeito. Como irei justificar pra empresa?;8;;;;;;;;;;;;;;;;;;;;;;;;;
9 de novembro de 2023;Uma estadia que valeu cada dia!;Recepção. Michele é uma gentileza! A localização é ótima! E o café da manhã é bem servido!;Academia é bem ruim. Devia ser desativada!;8;;;;;;;;;;;;;;;;;;;;;;;;;
9 de novembro de 2023;O staff faz milagre;O que salva a hospedagem é o staff e a localização. Gabi, Haroldo, Jenifer, Michelle e Leandro estão de parabéns pelo esforço em ajudar os clientes.;Nao vi gerência em momento algum. Cama range por todos os lados. Toalha de rosto se rasgando. Bacia da privada solta. Ar condicionado sem gelar na primeira noite. Tentaram me mudar pra outro q tb não gelava. A mantinha q fica no quarto parece um item tirado do baú da vovó. Um travesseiro apenas pra cada (casal). A porta da varanda com uma super folga batia com o vento. Tive q rasgar uma sacola de papelão pra colocar entre as portas e conseguir dormir. Fiquei com 3 cartões de acesso porque a porta sempre dava erro de leitura. Cafe da manhã: café queimado, daqueles q parece q ficou no fogo e no esquecimento... Poucos itens no buffet. Tudo de qualidade inferior. Não retorno de forma alguma. Não vale 500 reais de diária. Basicamente o q paguei.;7;;;;;;;;;;;;;;;;;;;;;;;;;
9 de novembro de 2023;Bom;O café da manhã era bom, mas poderia variar as opções de um dia para o outro.;O ar condicionado não funcionou no terceiro dia, durante o café-da-manhã. A piscina ficou indisponível durante a estadia.;7;;;;;;;;;;;;;;;;;;;;;;;;;
8 de novembro de 2023;Muito bom;Localização, acomodação, sem contar o atendimento na recepção! A Mi é sensacional.;Limpeza, precisa melhorar. O box;8;;;;;;;;;;;;;;;;;;;;;;;;;
8 de novembro de 2023;Hotel decadente;Localização e tamanho do quarto e do banheiro.;#NOME?;;;;;;;;;;;;;;;;;;;;;;;;;;
#NOME?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#NOME?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#NOME?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#NOME?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#NOME?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#NOME?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#NOME?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#NOME?;" mas não tinha.""";6;;;;;;;;;;;;;;;;;;;;;;;;;;;
8 de novembro de 2023;Mais ou menos;Localização;Hotel velho, meu chuveiro tava com falta de água fria, é a água quente saia extremamente quente, reclamado várias vezes e não foi resolvido só falaram que era devido a manutenção da piscina.;7;;;;;;;;;;;;;;;;;;;;;;;;;
7 de novembro de 2023;Bom;Cordialidade dos funcionários, muito educados e atenciosos.;As instalações estão com aspecto descuidado. Vidros sujos, elevadores com tapete bem gasto e também aspecto sujo, box do banheiro com rodapé gasto. A aparência no geral pode melhorar.;7;;;;;;;;;;;;;;;;;;;;;;;;;
7 de novembro de 2023;Decepcionante. Apesar de excelente localização.;A localização é excelente. Os funcionários são muito simpáticos.;As instalações são antigas. Os vidros do elevador panorâmico e dos janelões dos quartos estavam sujos. Piscina em manutenção durante todo o fim de semana de feriado. O controle da TV não funcionava. ;;;;;;;;;;;;;;;;;;;;;;;;;;
Acredito que faltou planejamento e cuidado em uma semana com feriado prolongado. Poderia ter sido excelente;" mas deixou a desejar.""";8;;;;;;;;;;;;;;;;;;;;;;;;;;;
7 de novembro de 2023;Razoável;Espaço;Móveis velhos, cortinas sem vedação, toalhas velhas;6;;;;;;;;;;;;;;;;;;;;;;;;;
6 de novembro de 2023;Foi razoável, a educação e limpeza compensa o que falta;Da limpeza e educação dos funcionários;Achei o hotel um pouco descuidado e com pouca opção no café da manhã;6;;;;;;;;;;;;;;;;;;;;;;;;;
6 de novembro de 2023;Estadia regular;Localização, funcionários prestativos e muito atenciosos.;Ar condicionado pingando a noite toda, inclusive havia um balde para que essa água escorresse. Colchão muito velho. Travesseiros pareciam antigos.;7;;;;;;;;;;;;;;;;;;;;;;;;;
5 de novembro de 2023;Muito satisfeito.;Boa localização, em frente a supermercado, a praia da Boa viagem (própria pra banho), vários restaurantes e academia Smartfit próxima (10 min andando e VAZIA rsrs). A estrutura do hotel não é tao nova, mas bem conservada. Cama do quarto, apesar de molas, é bastante confortável e espaçosa. No quarto, destaque para o ar condicionado e a ducha, excelentes. Café da manhã muito bom, apesar da pouca variedade de itens, mas serve muito bem, com reposição frequente de itens. Destaque para os funcionários, super gentis, solícitos e educados. O custo-benefício é excelente e q hospedagem vale super a pena.;A única coisa que não gostei foi não ter shampoo e condicionador como itens de cortesia, algo a ser considerado e/ou avisado aos hóspedes com antecedência. Mas isso não diminui a experiência muito boa da hospedagem.;8;;;;;;;;;;;;;;;;;;;;;;;;;
5 de novembro de 2023;Razoável;Custo benefício;Ar condicionado não estava funcionando.;8;;;;;;;;;;;;;;;;;;;;;;;;;
5 de novembro de 2023;Bom, mas pode melhorar;Custo benefício;Acomodação nessecita de uma reformulação na decoração;7;;;;;;;;;;;;;;;;;;;;;;;;;
5 de novembro de 2023;ótima relação custo-benefício em Recife;boas acomodações, boa localização e ótimo preço.;irregularidade na limpeza do quarto: em alguns dias que estive hospedado meu quarto não foi limpo.;7;;;;;;;;;;;;;;;;;;;;;;;;;
4 de novembro de 2023;Muito bom;Localização,funcionários atenciosos,limpeza.;O café da manhã poderia ser mais diversificado, fiquei 5 dias e o café foi exatamente igual todos os dias. Também poderia ter opções de sucos de fruta e não aqueles de máquina.;8;;;;;;;;;;;;;;;;;;;;;;;;;
2 de novembro de 2023;Muito bom;Atendimento de todos os funcionários excelente! Super prestativos, deram informações e indicaram taxistas, empresas de turismo para passeios e restaurantes. Gostei de todos! ;;;;;;;;;;;;;;;;;;;;;;;;;;;
Quarto amplo; confortável e fresquinho. Ar condicionado em excelente estado.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Excelente localização do Hotel; pertinho de um shopping com Carrefour;" lojas farmácia e bons restaurantes.""";A pia do banheiro estava entupida, então ao usá-la, ficava um pouco nojenta. Cheguei a pedir pra irem lá desentupir, mas parece que esqueceram. ;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Café da manhã gostoso; básico ;mas senti falta de um pão de queijo; como todo mineiro.;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Os travesseiros precisam de uma renovação. Achei velhos e muito moles; pois estou acostumada com aqueles com espuma da NASA; que são mais firmes.;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
No meu quarto tinham duas lâmpadas; que mesmo apagadas continuavam acesas; com uma luz mais fraca; iluminando o quarto a noite. Precisei soltar uma lâmpada;" pois não conseguia dormir por causa da claridade emitida por ela.""";8;;;;;;;;;;;;;;;;;;;;;;;;
2 de novembro de 2023;Gostei;Quarto super confortável e café da manhã bom.;Péssimo sinal de wifi e o café da manhã poderia ter mais opções.;8;;;;;;;;;;;;;;;;;;;;;;;;;
1º de novembro de 2023;Bom;Localização;;;;;;;;;;;;;;;;;;;;;;;;;;;
1º de novembro de 2023;Hotel para curta permanência;Gostamos muito da localização do hotel. Bem próximo a praia de Boa Viagem.;Avaliamos que a metodologia de trabalho da equipe é pouco acolhedora. Ademais o café da manhã, apesar de farto, parece ser preparado sem zelo.;8;;;;;;;;;;;;;;;;;;;;;;;;;
1º de novembro de 2023;Bom;;Da academia. Péssima. As esteiras e a bicicleta praticamente quebradas, sem ar condicionado, sem estrutura pra malhar. A única queixa que tenho.;7;;;;;;;;;;;;;;;;;;;;;;;;;
31 de outubro de 2023;Em sim foi muito bom só este pequeno detalhe foi relatado;Gostei da localização muito boa próximo a praia mercado;Primeiro foi o atendimento teve uma moça não mim tratou muito bem o café da manhã não tão bom;8;;;;;;;;;;;;;;;;;;;;;;;;;
31 de outubro de 2023;Bom;A localização é das melhores em Boa Viagem, o hotel é bom, atendimento dos funcionários é cordial. O hotel oferece estacionamento com manobrista por um preço justo. Gostei de tudo, em especial do custo-benefício.;O colchão poderia ser melhor, mas, não é ruim. O café da manhã atende bem, poderia ter maior variedade, mas, atende perfeitamente, sem problemas.;7;;;;;;;;;;;;;;;;;;;;;;;;;
30 de outubro de 2023;Satisfatório;Colaboradores gentis, boa localização para o preço;Ficou sem wi-fi + 15 horas;6;;;;;;;;;;;;;;;;;;;;;;;;;
30 de outubro de 2023;Bom;;Manutenção precisa melhorar, muito velha a estrutura.;7;;;;;;;;;;;;;;;;;;;;;;;;;
28 de outubro de 2023;Bom;Localização e atendimento bons.;Instalações antigas, café da manhã simples, sem muita variedade.;7;;;;;;;;;;;;;;;;;;;;;;;;;
26 de outubro de 2023;Boa opção para quem vem a trabalho.;Localização boa, tamanho dos quartos confortável, camas grandes.;Toalhas e lençóis antigos.;7;;;;;;;;;;;;;;;;;;;;;;;;;
26 de outubro de 2023;Gostei da estadia só não dou 10 por causa da cama e travesseiros.;Localização, estruturara do hotel é boa, quarto grande, a camareira Renata muito atenciosa.;Não gostei do colchão e travesseiros, estão muito velhos, o hotel precisa troca-los, porque acaba sendo desconfortável a dormida.;8;;;;;;;;;;;;;;;;;;;;;;;;;
26 de outubro de 2023;bom custo benefício;Solicitei troca de quarto devido a barulho no sistema de alarme e fui atendida. O quarto que fui colocada era muito melhor do que o primeiro. O primeiro quarto era ruim. Localização, barulho e estrutura..;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Estacionamento com serviço de manobrista excelente""";Café da manhã é muito ruim.;7;;;;;;;;;;;;;;;;;;;;;;;;;;;
26 de outubro de 2023;Bom custo-benefício;O quarto tem um bom tamanho, assim como o banheiro. Ele foi limpo todos os dias e o chuveiro era muito bom. A piscina é coberta, mas é boa pra um pós-praia. O cafeda manhã é simples,mas tem variedade e atende bem.;Tive problemas com meu cartão magnético praticamente todos os dias. Ficava bastante tempo tentando abrir a porta. Eles apenas remagnetizavam, chegaram a troca-lo, mas continuava ruim. A equipe não era muito simpática.;8;;;;;;;;;;;;;;;;;;;;;;;;;
26 de outubro de 2023;Muito bom;Da localização;;8;;;;;;;;;;;;;;;;;;;;;;;;;
25 de outubro de 2023;Bom;O quarto bastante espaçoso e super limpo;A água tinha um cheiro horrível e o café era bem básico e não tem serviço de quarto;7;;;;;;;;;;;;;;;;;;;;;;;;;
25 de outubro de 2023;Poderia ser excelente se o hotel tivesse mais manutenção e com o mobiliário renovado.;Localização e atendimento.;Acomodações antigas.;;;;;;;;;;;;;;;;;;;;;;;;;;
Limpeza questionável; justamente porque as cortinas são velhas e sujas; as camas antigas e com um protetor de cama de plástico e sujo; mas o trabalho das camareiras era bom; dentro das possibilidades que elas tinham.;;;;;;;;;;;;;;;;;;;;;;;;;
Toalhas manchadas e velhas.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Roupa de cama rasgada.""";7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25 de outubro de 2023;Bom custo benefício;custo benefício.;"Café da manhã a desejar e funcionários ""lentos"" pra limpar as mesas do café. Teve um dia que a pessoa da limpeza das mesas deixou minha mesa cheia de pratos da pessoa que ocupou a mesa anteriormente. Simplesmente nem olhava pra minha mesa, ignorou completamente. Mantido o baixo preço, voltaria a me hospedar.";7;;;;;;;;;;;;;;;;;;;;;;;;;
25 de outubro de 2023;Muito bom;Sim;-x-;8;;;;;;;;;;;;;;;;;;;;;;;;;
23 de outubro de 2023;Custo/benefício;Tamanho dos quartos, tamanho das janelas. A cama é confortável. Mercado e farmácia nas proximidades.;Estrutura da área social. Poderia ter uns sofás confortáveis e uma mesinha de centro.;8;;;;;;;;;;;;;;;;;;;;;;;;;
22 de outubro de 2023;Bom;Localização;Banheiro sem ducha.;7;;;;;;;;;;;;;;;;;;;;;;;;;
20 de outubro de 2023;Muito bom;Localização excelente...;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bom café da manhã.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Quarto amplo e confortável!;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Recepcionistas muito simpáticos e educados.""";Não foi o nosso caso, mas para quem viaja a negócios e precisa de wifi, a rede do hotel é bem ruim. Durante os 5 dias usamos apenas os dados móveis. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Não houve troca de toalhas nos 5 dias que estivemos no hotel.""";8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20 de outubro de 2023;Muito bom;Cordialidade dos funcionários em geral, como a recepcionista Michelle muito simpática. Café da manhã bom. Tamanho do quarto amplo;Toalhas e lençóis bastante desgastados. Precisando ser substituído com urgência.;8;;;;;;;;;;;;;;;;;;;;;;;;;
19 de outubro de 2023;Muito bom;localização;;8;;;;;;;;;;;;;;;;;;;;;;;;;
19 de outubro de 2023;Bom;Localização e estacionamento;O hotel precisa de reformas... tapetes sujos, piso desgastado, lençóis antigos.... apesar da localização e do espaço serem excelentes, precisa melhorar;7;;;;;;;;;;;;;;;;;;;;;;;;;
18 de outubro de 2023;Excelente custo benefício, localização excelente.;Custo benefício muito bom. Pelo preço, o hotel é surpreendeu as expectativas. Além da localização excelente, recebeu muito bem meus convidados (era meu casamento e indiquei o hotel para muitos convidados) e facilitou alguns serviços com lavanderia, estacionamento, etc. Funcionários simpáticos e café da manhã ok.;São instalações simples, apenas isso.;8;;;;;;;;;;;;;;;;;;;;;;;;;
18 de outubro de 2023;Bom;Conforto, ambiente;A tv não é smart. Você não pode espelhar, não pode colocar sua conta nas tvs fechadas. Pessimo.;7;;;;;;;;;;;;;;;;;;;;;;;;;
18 de outubro de 2023;Satisfatório;Ótima localização , café da manhã .;Academia não funciona , poucos equipamentos !o estacionamento não está incluso no valor , tendo que ser pago a parte .;7;;;;;;;;;;;;;;;;;;;;;;;;;
17 de outubro de 2023;precisa melhorar muito!!!;localização;limpeza, recepção, garagem, café da manha;6;;;;;;;;;;;;;;;;;;;;;;;;;
17 de outubro de 2023;Muito bom;"Estabelecimento muito bem localizado no Bairro da Boa Viagem, a duas quadras da praia, em frente a um grande supermercado e próxima a bares, restaurantes e pontos de ônibus urbano e táxi. As acomodações são espaçosas e muito limpas. O café da manhã é farto, porém não com muitas variedades. O ar condicionado e o wifi funcionaram perfeitamente. Todos na equipe foram gentis e solícitos. Cheguei cerca de duas horas antes do horário e me permitiram um ""check in"" antecipado sem custos adicionais. Excelente relação custo/benefício.";Nada.;8;;;;;;;;;;;;;;;;;;;;;;;;;
16 de outubro de 2023;Bom;Localização, limpeza e café da manhã.;O Hotel cobra pelo estacionamento do carro. Algo que deveria ser informado no momento da reserva e não quando chegar para se hospedar.;7;;;;;;;;;;;;;;;;;;;;;;;;;
15 de outubro de 2023;Bom;É perto da praia, tem academia;Eu torci meu pé, pedi um gelo na recepção pra colocar e simplesmente me disseram que não tinham. Um hotel que tem restaurante com café da manhã, com certeza tinha gelo, mas não fizeram a menor questão de procurar.;7;;;;;;;;;;;;;;;;;;;;;;;;;
15 de outubro de 2023;Razoável;Mais ou menos;Paredes e cortinas sujas;8;;;;;;;;;;;;;;;;;;;;;;;;;
14 de outubro de 2023;Muito bom;Da atenção e orientação da funcionária da recepção de nome Gabriela;A limpeza diária do quarto da acomodação deixou um pouco a desejar;8;;;;;;;;;;;;;;;;;;;;;;;;;
13 de outubro de 2023;Bom custo benefício;Boa localização bom custo benefício uma boa opção para quem não busca hotel luxuoso;Problemas com a água quente;7;;;;;;;;;;;;;;;;;;;;;;;;;
