data_avaliacao;titulo;comentario_positivo;comentario_negativo;nota
29 de janeiro de 2024;Muito bom;Gostei da localização, bem em frente a praia.;A piscina é muito pequena.;
29 de janeiro de 2024;Muito bom;Café da manhã e quarto ! Ótima localização.;A área da piscina poderia ser maior !;8
29 de janeiro de 2024;Boa estadia.;Localização e atendimento dos funcionários.;Falta de um estacionamento.;8
21 de janeiro de 2024;Médio;Café da manhã amei;Quarto 601 cheiro muito forte de cigarro, muita ponta de cigarro na janela, socorro;7
17 de janeiro de 2024;Boa atendimento e funcionãrios gentis;Muito Bom;As camas colchões estão precisando de troca;8
15 de janeiro de 2024;Preço alto para o que é oferecido.;Do quarto e da localização;Do atendimento dos funcionários. Não tinha ninguém para ajudar com as malas. Os funcionários são rudes no atendimento e nas solicitações.;7
9 de janeiro de 2024;Reveillon;Acessibilidade, quartos limpos. Bom atendimento.;Café da manhã e refeições simples pela tarifa cobrada.;
9 de janeiro de 2024;Dentro do esperado;Café da manhã;Banheiro;8
9 de janeiro de 2024;Não voltarei;Atendimento e cordialidade dos funcionários;Péssimo conforto, box muito pequeno e almofadas da cama com mal cheiro.;7
9 de janeiro de 2024;Bom custo-benefício;Localização excelente;Sem estacionamento nem serviço de estacionamento.;7
9 de janeiro de 2024;Muito boa!!;O banho é perfeito!!;Achei o café com poucas opções! :(;9
8 de janeiro de 2024;No geral foi legal.;A localização e o café da manhã .;O quarto estava com um pouco de cheiro de morfo e o hotel não disponibiliza serviço de quarto.;8
5 de janeiro de 2024;Hotel decadente! Decepção;Localização e ceia buffet a noite.;O hotel não pode ser considerado 4 estrelas.;
4 de janeiro de 2024;Friozinho no verão de Recife;Cama de boa qualidade, travesseiros confortáveis porém baixo, solicitamos travesseiros adicionais;;
2 de janeiro de 2024;Ok;Café da manhã;Quartos necessitam de reforma, academia com aparelhos sem funcionar direito.;8
28 de dezembro de 2023;Muito agradável;Camas confortáveis, limpeza, localização;Não é o fato de não ter gostado, mas o café da manhã foi uma experiência um pouco confusa. Mas funcionou bem.;8
27 de dezembro de 2023;Boa Viagem;Ótima localização, perto de bons restaurantes, de frente para a praia de Boa Viagem.;;9
27 de dezembro de 2023;Otima localização;Localização otima! Cafe da manha delicioso!;Achamos o quarto meio escuros;8
26 de dezembro de 2023;Bom;O conforto e a localização;O recepcionista precisa de um humor melhor para abordar os hóspedes;7
15 de dezembro de 2023;Muito bom;Localizacao e vista do quarto maravilhosa;Piscina em obra;8
12 de dezembro de 2023;Bom custo benefício;Localização e vista;Quarto pequeno;7
30 de novembro de 2023;Excelente custo benefício;Localização;;8
28 de novembro de 2023;Piscina fechada para reforma sem prévio aviso;Localização, conforto e limpeza do quarto;Cheguei com bastante bagagem e não tive auxílio de nenhum funcionário. Não apresentaram os espaços comuns do hotel e a piscina está em reforma.;
8 de novembro de 2023;Bom;Localização e café da manhã maravilhos.;Cama velha e colchão horrível.;7
6 de novembro de 2023;Vale muito pela localização;Localização excelente;;8
6 de novembro de 2023;Ótima localização;Ótima localização;Nada a declarar;8
30 de outubro de 2023;bom custo beneficio;localização e café;do ar condicionado central que permitia uma boa regulagem de velocidade do vento e temperatura.;8
25 de outubro de 2023;Muito bom;Piscina, funcionários, localização e limpeza;Decoração do quarto antiga;8
24 de outubro de 2023;Muito bom;Simpatia dos funcionários;Quarto não tem prateleiras, suportes para pendurar/secar roupas.;8
11 de outubro de 2023;Bom;Localização excelente, funcionários atenciosos.;Demora na liberação do quarto após o check in;7
6 de outubro de 2023;Muito bom;Um ótimo hotel atende as expectativas do preço pago e do que foi ofertado.;As camas poderiam ser um pouco mais confortáveis. Mas no geral estava ok. O preço condiz com o que foi ofertado e não tenho do que reclamar no geral.;8
3 de outubro de 2023;Boa opção;Localizado;Barulho;8
2 de outubro de 2023;Muito bom;Café da manhã;Piscina, muito pequena;8
25 de setembro de 2023;foi tranquila;O hotel possui ótima localização. Em frente a praia, próximo ao aeroporto.Pensando em custo e benefício vale a pena;Contudo, os quartos são bem antigos, escuros, e a limpeza deixou muito a desejar. Principalmente do banheiro.;7
24 de setembro de 2023;Muito bom;Quarto muito bom. Limpo! ;;
21 de setembro de 2023;Muito bom;Do excelente café da manhã e da boa limpeza do quarto.;Não gostei do atendimento da recepção. Deixou a desejar nas informações e no atendimento desleixado.;8
18 de setembro de 2023;Bom;;Quartos antigos e sem muito conforto. Só havia o lençol fino na cama sem disponibilidade de colcha ou manta.;7
17 de setembro de 2023;Bom;;Quarto ruim, janela virada pra outro prédio. Limpeza mediana.;7
16 de setembro de 2023;Bom;Quarto confortável.;Café da manhã poderia ser melhor, e a senhora que estava fazendo a tapioca sem ser a senhora que fica de branco muito enjoada.;7
12 de setembro de 2023;Muito bom;Muito bem localizado.;Ao chegar no hotel, precisei trocar o quarto pois o ar condicionado não estava funcionando.;8
9 de setembro de 2023;Satisfatório;A localização e o a café da manhã.;Sem local para estacionamento.;9
7 de setembro de 2023;Hotel com atendentes atenciosos, aconchegante e bem localizado.;Atendimento das pessoas, café da manhã, atendimento imediato quando solicitado, limpeza.;Demora no atendimento do restaurante, quando foram solicitados lanches no quarto, e o que foi enviado estava frio, por exemplo o misto quente parecia que tinha sido colocado na sanduicheira por um segundo, pra ficar claro como estava.;9
5 de setembro de 2023;Muito bom;;Não gostei do colchão, desgastado e surrado, muito mole. Noites não foram boas.;8
25 de agosto de 2023;Surprendente;Um bom café da manhã em local limpo, organizado, com ótimo atendimentos e bons frutos. Os pães não são bons em todo o Nordeste mas as frutas estavam muito boas.;;9
23 de agosto de 2023;Não é o melho custo benefício, achei as instalações um pouco antigas e a minha chave do quarto eu troquei 2x e mesmo ass;Gostei que era na frente da praia num valor bacana.;A limpeza do lençol não estava 100% tinham pequenas manchas meio vermelhas.;7
18 de agosto de 2023;Bom;A localização é ótima. Café da manhã muito bom também.;O hotel parece antigo, azulejos do banheiro estão encardidos assim como os rejuntes. Colchão muito macio não me agradou.;7
16 de agosto de 2023;Fantástico;Café da manhã e a localização .;A segurança ao entorno do Hotel está perigosa com vários assaltos.;9
16 de agosto de 2023;Bom custo benefício;Cama e limpeza do local hotel e do quarto;Quarto próximo a algum gerador ou lavanderia, em alguns momentos o barulho incomoda (quarto que me hospedei);8
15 de agosto de 2023;Precisa melhorar muito, pq 4 estrelas não cabe;Só a diversidade no café da manhã, e a limpeza;Barulho da janela do quarto, recepção do atendimento na entrada ( péssimo),camas sem qualidade ( colchões);8
14 de agosto de 2023;Muito bom;Localização privilegiada;;8
10 de agosto de 2023;Bom;Café da manhã muito bom.;Um determinado funcionário.;7
30 de julho de 2023;Não vale o investimento.;Os funcionários são bem atenciosos, exceto a senhora da tapioca que, por algum motivo, parece estar sempre de mal humor e de má vontade.;Os espaço fitness é velho, com aparelhos quebrados. A limpeza do quarto deixa a desejar. A central de ar antiga compromete a climatização adequada do quarto. O colchão de molas antigo é horrível.;7
24 de julho de 2023;Ótimo Hotel;O quarto é espaçoso e a cortina blackout realmente funciona, é silencioso, ótimo para descansar.;;
23 de julho de 2023;Há opções melhores por preços semelhantes;O café da manhã é bom e a presteza da cozinheira fazendo tapiocas e omeletes.;Não gostei que as toalhas estavam com cheiro de fumaça. Não tinha cobertor à disposição no quarto, apenas lençol, não é prático ligar pra pedir algo básico;7
21 de julho de 2023;Muito bom;Café da manhã, funcionarias(os), localização.;O chão ficava sempre úmido, dando impressão de não estar tão limpo.;8
20 de julho de 2023;Fantástico;Muito bem localizado. Vista maravilhosa e funcionários gentis e solícitos.;;9
14 de julho de 2023;Maravilhosa;O hotel é maravilhoso, equipe excelente, um ótimo café da manhã, o que não gostamos foi que, se vier de carro próprio ou alugado, não há estacionamento, ele ficará fora, e sem contar que chegar uma certa hora, que não recomendamos andar pelas ruas, visto que fica super esquisito, é bom evitar caminhar à noite, é um pouco perigoso. No mais não temos o que falar do hotel, sem contar com o café da manhã maravilhoso!;Colocar estacionamento!;9
10 de julho de 2023;Bom;Boa localização, bom atendimento funcionários.;Café da manhã não condiz com o valor pago diárias,alto custo diária padrão hotel.;7
9 de julho de 2023;Insatisfatório;Da receptividade, da localização e do café da manhã;Das instalações muito insalubres (mofo que nos deixou com alergia);8
5 de julho de 2023;Boa;Localização excelente, e conforto excepcional!;O café da manhã deixa a desejar, poucas opções.;9
4 de julho de 2023;Bom hotel, mas poderia melhorar a conservação.;Localização.;O quarto estava bem molhado perto da janela e do criado mudo. No dia seguinte, o quarto estava com o chão molhado perto da entrada do quarto por conta da condensação do ar condicionado do quarto abaixo.;8
21 de junho de 2023;Marante salvo pelo atendimento;Atendimentos dos funcionários é muito bom;Chuveiro à noite não dispõe de água quente.;
13 de junho de 2023;RECOMENDO.;Bem localizado, limpo e bom atendimento. Café da manhã fantástico e bem diversificado. Recomendo.;O acesso ao hotel é um pouco estreito e deveria comunicar sobre as taxas de estacionamento.;9
4 de junho de 2023;Lugar de ótimo custo-benefício para viagens a Recife.;Da acomodação e do atendimento dos funcionários.;A ausência de estacionamento e o café da manhã poderia ser melhor.;9
16 de maio de 2023;De frente para a praia de Boa Viagem!;Localização privilegiada na orla da praia de Boa Viagem.;;
10 de maio de 2023;Muito bom;Muito bem localizado, cama confortavel e um café da manhã com muitas opções.;Não ter estacionamento.;8
21 de abril de 2023;muito boa;conforto;quando chega a hora final do café da manhã, os funcionários expulsam os clientes mesmo eles já estando lá dentro.;9
17 de abril de 2023;Foi tudo bem na minha hospedagem;O atendimento dos funcionários, tanto na recepção como do restaurante;Faltou detalhes na limpeza do apartamento.;8
12 de abril de 2023;Muito bom;Localização. Cordialidade.;Tudo bom. Sem queixas;8
26 de março de 2023;Bom;Café da manhã ótimo, tapiocas e omeletes são feitos na hora e a senhora que estava fazendo é muito atenciosa, pena que tomamos só uma vez o café da manhã porque fomos embora de madrugada.;Quarto razoável, não tem janela no banheiro, exaustor faz muito barulho, a água não era límpida, não tem estacionamento;7
20 de março de 2023;Muito boa!;Do conforto do quarto.;Café da manhã razoável, apesar da variedade.;8
20 de março de 2023;Bom;Localização;;7
19 de março de 2023;Muito bom;Atendimento, quarto ótimo!;Achei o café da manhã fraquinho, poderia ser melhor.;8
19 de março de 2023;frustante;localização;a área de lazer fecha de noite , se quiser ficar vendo a paisagem /praia de noite lá em cima não pode ;
18 de março de 2023;Uma estadia ok;Localização e hospitalidade dos funcionários;Ar condicionado não gelava o suficiente para deixar o quarto confortável para dormir. O quarto necessita de uma reforma.;8
16 de março de 2023;Tranquilidade;Ótima localização, custo-benefício bom.;;
15 de março de 2023;Muito bom!;Facilidade com as reservas e durante a estadia! Café da manhã muito bom e funcionários atenciosos!;Talvez maior capricho com a limpeza da piscina e com um melhor custo para os apartamentos com vista para o mar!;9
6 de março de 2023;estadia não muito satisfatória;a localização e a gentileza e dos funcionários;o preço é caro ! é o hotel deixa muito a desejar quanto ao ar condicionado.;8
6 de março de 2023;Fantástico;Otimo café da manhã, bem servido, ótimo quarto, mesmo lateral tinha vista pro mar.;;
6 de março de 2023;vale a pena ir;quarto;cafe da manha poderia ser melhor;9
2 de março de 2023;hotel simples e limpo;próximo à orla;;
27 de fevereiro de 2023;Gostamos da estadia !;Gostamos muito da localização, do café da manhã e de toda a equipe do Marante. Fomos muito bem atendidos.;Achamos o banheiro velho e o quarto pequeno.;9
25 de fevereiro de 2023;Fantástico;Ótima localização e café da manhã! Quartos silenciosos e confortáveis. Recomendo pelo custo benefício!;;9
22 de fevereiro de 2023;Muito bom;Bom. Farto, boas frutas.;;8
21 de fevereiro de 2023;Bom;Localização;academia e sistema de ar condicionado;7
21 de fevereiro de 2023;Bom;Não há estacionamento no hotel. E não há estacionamento perto do hotel.;;7
13 de fevereiro de 2023;Fantástico;Localização e atendimento;Valores do cardápio;9
13 de fevereiro de 2023;Muito bom;Localizacao;Colchões ruins, limpeza do quarto apenas boa;8
6 de fevereiro de 2023;Ótimo custo benefício;Este é um hotel antigo, parcialmente reformado. Mas, de forma geral, apesar de merecer mais reforma/atualizações, o quarto que fiquei era muito confortável, roupa de cama/banho muito boa. Limpeza, staff, café da manhã excelentes.;O hotel não possui estacionamento (mas eu poderia ter me atentado a essa informação antes da reserva).;9
29 de janeiro de 2023;Muito bom;A localização;A falta de estacionamento;8
28 de janeiro de 2023;Fantástico;Localização, café, funcionários atenciosos.;Não ter bebidas no frigobar.;9
25 de janeiro de 2023;Custo-benefício bom;Localização excelente e equipe simpática e solícita.;Não ter estacionamento próprio é um ponto negativo, porém felizmente não tive dificuldade para encontrar vaga na rua.;7
23 de janeiro de 2023;Ótimo custo benefício;Bom custo benefício, em frente a uma parte legal da praia de boa viagem;O café da manhã poderia ser mais diverso;8
21 de janeiro de 2023;Excelente opção!;A localização é muito boa, próximo a bares e restaurantes e de frente para a praia. O quarto com bom espaço, café da manhã de boa qualidade e um restaurante com comidas boas com os preços médios de outros restaurantes.;A falta de um lençol de elástico na cama fazia com que o lençol saísse todas as noites. É algo muito simples para se arrumar e dar maior conforto ao hóspede. Fora isso nenhum outro ponto negativo.;9
16 de janeiro de 2023;Muito bom;Praticidade;;8
15 de janeiro de 2023;ótimo custo benefício para poucos dias;ótima cama e chuveiro. O café da manhã também é muito bom, com muita variedade. Ótimo atendimento dos funcionários, de modo especial o Guttemberg da recepção.;no geral não estava sujo, mas a limpeza poderia ser melhor.;9
15 de janeiro de 2023;Muito bom;Localização,amabilidade e profionalismo dos funcionários.;"É só uma observação:. O apto,foi reformado, más o recinto do chuveiro, ficou muito escuro. Curioso também é que o"" criado colocado entre as camas, ficou mais alto ""escondendo "" tomada de energia, ""es";8
14 de janeiro de 2023;Ótimo Hotel;Os funcionários São excelentes. A piscina é ótima e tem uma vista maravilhosa - apesar de parecer maior nas fotos. Café da manhã bem caprichado e gostoso.;Os preços do cardápio do hotel são meio salgados. ;
9 de janeiro de 2023;ótimo custo benefício;A amabilidade e disponibilidade da equipe;Alguns hóspedes fazendo barulho e som na piscina;9
9 de janeiro de 2023;Bom custo-benefício;Excelente localização, quarto e café da manhã. Os funcionários são muito educados e prestativos.;Do barulho interno do hotel;9
9 de janeiro de 2023;Bom custo benefício;A receptividade e presteza dos funcionários, a limpeza do local e a localização do Hotel.;Nao é que nao gostei, mas senti falta de acessibilidade. ;
7 de janeiro de 2023;Fantástico;;As camas não são tão confortáveis;9
6 de janeiro de 2023;Ótima!;O recepcionista que realizou nosso check-in e check-out é extremamente gentil e acolhedor, atendimento EXCELENTE!;;
5 de janeiro de 2023;Fantástico;Localização excelente.;;9
5 de janeiro de 2023;Muito bom;localização muito boa;acomodações antigas precisando serem rebocadas;8
4 de janeiro de 2023;muito bom mas precisa melhorar em alguns aspectos básicos;ar condicionado, chuveiro, guarda roupa;cama meio mole demais, afundada no meio;7
4 de janeiro de 2023;Bom;Excelente localização, bem na praia. Café da manhã bem variado. Funcionários bem atenciosos, recepção, camareiras, funcionários do restaurante.;As duas piscinas são bem pequenas ... ideal para crianças ...;7
3 de janeiro de 2023;Precisando de Reforma;Já conhecia o Hotel. O Café da manhã é muito bom, os funcionários educados e simpáticos, piscina limpa . A localização é muito boa e o preço é bom.;Na acomodação eu esqueci de sinalizar porque o Hotel tem quartos excepcionais e quartos terríveis (janela voltada para o prédio vizinho, janela pequena, móveis velhos, ar condicionado antigo central que até pedi para virem dar um jeito nele, mas ninguém veio. Banheiro antigo pequeno e escuro como todo o quarto). A piscina, embora pequena é boa, mas como fica na cobertura, o deck está precisando de uma reforma, pois o piso em alguns lugares estão cedendo e deveria ter uma descida para a piscina que fosse melhor para idosos que não tem força nas pernas para descer e subir por uma escadinha .;7
3 de janeiro de 2023;Custo-benefício excelente;O café da manhã é maravilhoso, bem farto e com tudo fresquinho. A localização do hotel é muito boa e a praia em frente é linda. A vista da piscina na cobertura é um show à parte. Os funcionários são todos muito queridos e atenciosos, inclusive tive um problema com a fechadura de minha porta durante uma madrugada e resolveram rapidamente!;Foi a segunda vez que me hospedei no hotel e, novamente, o quarto que fiquei tinha bastante cheiro de mofo… Notei que fica bastante úmido com facilidade (talvez pela localização lateral desses quartos e pouca circulação de ar), então seria interessante buscarem uma solução pra isso.;9
3 de janeiro de 2023;Muito bom;Do restaurante do hotel. Parabéns;A localização não tem muitos locais para jantar etc. A praia é boa.mas deserta.;8
2 de janeiro de 2023;Excelente localização com conforto na medida;Quarto bem amplo, cama confortável, toalhas e roupa de cama de boa qualidade.;;
2 de janeiro de 2023;Fantástico;Café da manhã excelente.;;
2 de janeiro de 2023;Fantástico;Localização e acomodação;;9
1º de janeiro de 2023;Fantástico;E muito bem localizado, as meninas da limpeza são um doce, ótimo café da manhã, quarto e banheiro amplo.;Pessoal da recepção, trocaram meu quarto da reserva, além da pessoa que me atendeu não ser nem um pouco atenciosa.;9
1º de janeiro de 2023;Excelente relação custo-benefício;O hotel foi reformado e tá com o interior bem novinho, corredor e quarto bem arrumados. Café da manhã muito bom, sendo uma excelente relação custo-benefício.;O ar condicionado é central e não refrigerou muito bem e também a falta de estacionamento, numa hora bem movimentada só há vaga um pouco distante do hotel.;9
31 de dezembro de 2022;a felicidade está nos detalhes;a vista maravilhosa da praia e a localização;a acomodação muito boa, quarto grande, amplo, tudo maravilhoso, a única coisa q n gostei foi a piscina, pequena e parecia velha as coisas, o hotel é lindo, a piscina no terraço maravilhoso, mas por ser no terraço poderia ser mais aconchegante;8
29 de dezembro de 2022;Fantástico;Estrutura do hotel, café da manhã.;O valor da diária é mais alto do que oferece.;9
27 de dezembro de 2022;Acomodação adequada e agradavel;O Hotel é muito bom! Os funcionários muito delicados e atenciosos! Café da manhã bom!;;
27 de dezembro de 2022;confortável e prática;moderno e bem localizado;cheiro de mofo;8
25 de dezembro de 2022;Muito bom;Café da manhã;Ar condicionado não regula, somente frio ou calor extremos;8
25 de dezembro de 2022;Bom;A vista da cobertura é incrível, a localização não é ruim, apesar de estar esperando que fosse mais próximo de mercados, padarias, farmácias (e não é). Quarto espaçoso, hotel com serviço de quarto 24h, café da manhã bem servido.;Lixo apenas do banheiro, sem tampa (ao meu ver, anti higiênico). Apesar de ser na orla, não fica na praia da Boa Viagem especificamente, e não é tão perto de comércio, é mais um bairro residencial.;7
24 de dezembro de 2022;Bom;Super flexíveis e suportivos, café da manhã muito bom com várias opções, e fácil acesso, localização ótima.;O quarto tinha cheiro forte de mofo, e um pouco escuro. Cama não era muito confortável, e banheiro com aspecto de velho e escuro.;7
19 de dezembro de 2022;Atende às expectativas, bom para viagens a trabalho;Os atendentes são muito educados e solícitos, a piscina é boa e o café da manhã é bem amplo e saboroso. Fazem tapioca na hora pra você se quiser. Os elevadores são bons também e a vista do piso onde estão as piscinas é lindo noite e dia.;A iluminação do banheiro, o cheiro estranho que às vezes saía do ar condicionado, a explicação de como usar o cartão na porta e a locação dos apartamentos de frente para o mar, que alegavam não estar disponíveis, mas no booking aparecia como disponível, e o lençol da cama tinha mancha.;9
16 de dezembro de 2022;Hotel bom;Para o que fomos fazer em Recife a localização é ótima. Café da manhã disponível já às 6 horas e de boa qualidade.;;9
13 de dezembro de 2022;Ótima opção em Boa Viagem;Check-in e Check out muito ágeis.;;
12 de dezembro de 2022;Fantástico;Excelente recepção, com cordialidade de todo o time do hotel. Excelente café da manhã. Localização privilegiada e segura de fácil acesso.;Acomodação precisando e algumas melhorias, que deixariam o hotel mais confortável.;9
11 de dezembro de 2022;Muito bom;;ar condicionado não esfria direito, de madrugada até o dia ficou muito quente;8
10 de dezembro de 2022;Muito bom;Localização;;8
8 de dezembro de 2022;Muito bom recomendo aos amigos;Cordialidade limpeza e o serviço de restaurante;Tudo;8
8 de dezembro de 2022;Atendeu as expectativas;Muito bom café da manha;Apesar da boa localização há pouca opção de comércio local nas redondezas;7
7 de dezembro de 2022;Excelente Hospedagem;Hotel antigo, mas bem conservado e com equipe prestativa e atenciosa. Excelente café da manhã, com música ambiente de qualidade. Piscina pequena na cobertura, mas bem limpa e com belíssima vista da orla.;;9
5 de dezembro de 2022;cafe da manha bom. roupas de camas sujas;café da manhã muito completo e saboroso;limpeza das roupas de cama. pedimos a troca dos edredons. vieram com o mesmo cheiro de roupa suja, ou de mofo. ar-condicionado não refrisou. e a acústica dos apartamentos são ruins. você escuta tudo que está acontecendo do lado de fora e nos outros quartos;7
4 de dezembro de 2022;Bom;Localização, atendimento;Banheiro, ar-condicionado, iluminação do quarto;7
28 de novembro de 2022;Ótima localização;Ótimo hotel com localização privilegiada em frente a praia de Pina.;;
20 de novembro de 2022;Foi ótima;localização;baterem na porta p saber se vai limpar.;8
20 de novembro de 2022;…;A vista e a piscina na cobertura;;
14 de novembro de 2022;conforto e localização excelentes;Localização;;9
31 de outubro de 2022;ótima localização em Recife;era muito bem localizado, o café da manhã é ótimo e o quarto é confortável.;as camas e o banheiro eram um pouco antigos.;8
31 de outubro de 2022;muito frio à noite;localização, café da manhã;ar condicionado só funciona com frio e velocidade no máximo. o controle não funciona. reclamei, na recepção, e não deram menor importância;7
31 de outubro de 2022;estadia de poucos dias , mas agradável.;quarto amplo, banheiro amplo.;piscina;9
30 de outubro de 2022;muito boa;vista para a praia ;;
28 de outubro de 2022;em frente a 🏝️… muito bom!;muito boa!!!;nada a reclamar;9
26 de outubro de 2022;bom custo benefício;A localização é excelente!;;9
23 de outubro de 2022;muito bom!;Atendentes muito cordiais e atenciosos. instalações limpas e organizadas. café da manhã muito bom. localização excelente.;Espaço fitness pequeno e mal cuidado.;9
22 de outubro de 2022;Fantástico;da localização;;9
19 de outubro de 2022;Muito boa, sempre que vou à Recife me hospedo nesse hotel.;Hospedo-me com frequência nesse hotel. A localização e a infraestutura são ótimas. Café da manhã muito bom, assim como algumas comodidades.;O mal humor de parte da equipe do café da manhã é contagiante, destaque para a senhora que faz as tapiocas, sempre muito mal humorada.;8
15 de outubro de 2022;Fantástico;Localização.;;
13 de outubro de 2022;Bom;localização excelente;;
13 de outubro de 2022;Boa localização;excelente localização e bom café da manhã.;instalações antigas .e ar condicionado precário antigo e barulhento.;7
8 de outubro de 2022;foi boa;localização;piscina;7
6 de outubro de 2022;Fantástico;Localização, quarto, limpeza e café da manhã.;Nada;9
4 de outubro de 2022;Fantástico;Dos funcionários todos perfeitos. A comida ótima;Não tem varanda e TV a cabo;9
3 de outubro de 2022;Fantástico;Localização e excelente café da manhã;;9
3 de outubro de 2022;Hotel para recomendar aos amigos;Localuzação excelente e muito bom café da manhã;;9
3 de outubro de 2022;Fantástico;Adorei o café da manhã.;;
1º de outubro de 2022;Ótima estadia!;Ótima localização, farto café da manhã, de frente para a praia, camas confortáveis.;Apesar de não ter estacionamento, não foi difícil parar o carro na rua.;9
1º de outubro de 2022;Excelente lical;Acomodação e café da manha;Não se aplica;9
29 de setembro de 2022;Fantástico;A amabilidade dos funcionarios.;;
29 de setembro de 2022;Muito bom;A localização é excelente e o café da manhã é muito bom.;infelizmente, não tem estacionamento. o carro fica na rua.;8
28 de setembro de 2022;Bom;Localização;Barulho no piso superior. Isso ocorreu todos os dias pela manhã.;7
27 de setembro de 2022;boa localização;localização e café da manhã;necessário cuidado c estrutura física , manutenção e abastecimento do frigobar;7
27 de setembro de 2022;Muito boa a estada.;Café da manhã muito bom, com variedades. ;;
21 de setembro de 2022;Perfeita, volto novamente.;tapioca no café da manhã,;;
20 de setembro de 2022;Muito bom;Localização ótima;;8
19 de setembro de 2022;boa, mas poderia ser melhor;da vista;não ter nem uma água no frigobar e não ter controle sobre o ar condicionado;7
18 de setembro de 2022;Ótimo custo x benefício!;O café da manhã foi maravilhoso, todos os dias tinham muitas opções de bolos, pães, frutas, tudo bem servido.;;
16 de setembro de 2022;Um excelente lugar para se hospedar;Tamanho da acomodação e a cordialidade dos funcionários e a localização.;Frigobar desabastecido e horário fechamento da piscina.;9
15 de setembro de 2022;Fantástico;tv, ar-condicionado e Wi-Fi funcionando perfeitamente.;;9
15 de setembro de 2022;Excelente custo benefício;A localização é excelente, o café da manhã maravilhoso!! Tem tapioca feita na hora com muito sabor e amor.;Não tinha touca descartável para banho.;8
15 de setembro de 2022;valeu a pena;localização e recepção dos funcionários;um pouco antiga;8
14 de setembro de 2022;excelente café da manhã e quarto confortável.;camas confortáveis, banheiro limpo e ótimo chuveiro. café da manhã excelente.;não acertei a regulagem de temperatura do ar condicionado. frigobar sem produtos - necessário pedir qualquer coisa.;8
14 de setembro de 2022;Muito bom;Gostei muito do café da manhã. Com variedade e qualidade!;;8
12 de setembro de 2022;Excelente.;Bom café, exceto as opções de suco. Localização excelente. Limpeza ótima.;O barulho que as pessoas fazem desde muito cedo nos corredores, a acústica poderia melhorar, só isso.;9
12 de setembro de 2022;Ótimo para se hospedar em Recife;Da vista do quarto e da piscina ....recomendo os quartos com vista para o Mar;;
9 de setembro de 2022;Muito bom!;Receptividade, limpeza e café da manhã maravilhosos.;Ficar acomodada em quarto próximo aos elevadores é péssimo, de três vezes que fui já fiquei duas, não recomendo.;9
7 de setembro de 2022;gostei;localização;acústica;8
5 de setembro de 2022;Bom;Localização boa;;
5 de setembro de 2022;Vale a pena;Localização muito boa, vista bonita do rooftop, um bom custo benefício no geral.;Quarto tinha uma infiltração e um pouquinho de mofo. Esqueceram as toalhas de banho em um primeiro momento, só vi que só tinha de rosto quando já estava no banho.;8
3 de setembro de 2022;Fantástico;A vista para o mar e o conforto do quarto.;Área de tomar banho pequena.;9
2 de setembro de 2022;RAZOÁVEL;Atendimento dos funcionários, wifi, localização, cama confortável. Precisamos esquentar a água da bebê e foram sempre muito solícitos, pedimos para postergar o checkout por causa da hora do voo e fomos atendidos também.;Pedi um berço para minha filha e fomos atendidos, mas tanto o berço como a roupa de cama do berço estavam com cheiro forte de mofo. Pedimos a troca da roupa de cama mas não resolveu continuou com o cheiro de mofo, então decidimos juntar a cama de casal e uma solteiro e colocamos ela para dormir na cama de solteiro (mas não é o ideal por que é muito bebê e tem o perigo de rolar da cama). Café da manhã bom, mas poderia incrementar com algumas opções mais regionais por exemplo, calabresa, carne de sol, etc, e mais opções de salgadinhos fritos e folheados. Mas a depender do paladar o café da manhã é bem diversificado.;7
25 de agosto de 2022;Fantástico;Boa localização, bom cafe da manha;;9
17 de agosto de 2022;Fantástico;Goste de tudo. Instalações, localização e atendimento. Quartos são bem amplos.;Talvez o preço poderia ser melhor, mas vale a pena de qualquer forma.;9
29 de julho de 2022;Bom, mas pecam em alguns detalhes baratos de serem resolvidos;tamanho do quatro bom, banheiro bom.;;
26 de julho de 2022;otima;Vista;TV nao era Smart;9
26 de julho de 2022;estadia ok;café da manhã bom, quarto espaçoso.;cheiro ruim nos lençóis e travesseiros;7
23 de julho de 2022;Recomendo;bom!;banheiro;8
22 de julho de 2022;bom custo benefício;quarto amplo, chuveiro bom e cama boa! localização excelente!;não há o que eu não tenha gostando. Atendeu todas as nossas expectativas.;7
21 de julho de 2022;Foi tudo bem;Café da manhã;Cheiro mofo;8
18 de julho de 2022;excelente;tudo;nada a reclamar;9
17 de julho de 2022;Fantástico;localização, equipe simpática e disponível a ajudar. internet de qualidade, excelente café da manhã.;quarto ao lado do elevador com barulho constante ao longo da noite por causa do maquinário e colchão com deformação;9
14 de julho de 2022;Minha Experiência no Marante;Café da manhã muito bom.;Não tem estacionamento.;8
11 de julho de 2022;Muito bom;A equipe do café da manhã é excelente! O café da manhã também. Instalações muito legal.;Não possui estacionamento e não tem nenhum serviço de valet adicional.;8
11 de julho de 2022;Ótimo atendimento e bem localizado.;Ótimo atendimento e bem localizado.;Não tenho reclamação.;9
3 de julho de 2022;Foi bom;Café da manhã;;9
27 de junho de 2022;Como foi só um dia e eu tinha água, deu pra segurar. Mas os hoteis em Recife no Geral são ruins;AR condicionado, TV, banheiro, amenidades.;cobertas fedorentas, nada no frigobar.;7
27 de junho de 2022;Uma estada básica.;;O Hotel precisa de uma grande reforma para se encaixar nessa categoria.;7
