data_avaliacao;titulo;comentario_positivo;comentario_negativo;nota;;;;;;
11 de dezembro de 2024;Muito bom;Quarto espaçoso com vista para o mar, boa localização, restaurante no hotel.;O hotel estava em reforma, então o atendimento durante o checkin foi um pouco desconfortável.;8;;;;;;
11 de dezembro de 2024;Bom;Logo antes da hospedagem, li os comentários mais recentes e fiquei preocupada com a obra no hotel. Porém, não nos afetou de modo algum. Ficamos em um quarto com disposição para a parte de trás do hotel, mesmo assim, com vista do mar pela janela. Ao chegar no quarto do hotel, percebemos que a tranca da porta que dá acesso a varanda era de fácil manuseio por nosso filho de 2 anos e meio, pedimos um auxílio com relação a isso pois estávamos no sexto andar e, prontamente, um funcionário trancou a porta e removeu a tranca/chave, deixando mais seguro para nosso filho não acessar a varanda.;;;;;;;;
Café da manhã é bom; eles fazem uma tapioca na hora muito gostosa.;;;;;;;;;
Também realizam a limpeza do quarto e troca das toalhas durante a hospedagem.;;;;;;;;;;
Não há vaga de estacionamento dentro do hotel; mas ele não é o único hotel da Boa Viagem sem estacionamento gratuito ao hóspede. Resolvemos tranquilamente pois atras do hotel há um estacionamento pago que faz pernoite; e você consegue entrar e sair do hotel também pelos fundos;" que dá em frente ao estacionamento.""";Tive o desprazer de sofrer um golpe digital ao fazer login no wi-fi do hotel. Minha conta no banco Inter foi acessada e algumas transações bancárias foram realizadas em momentos em que estávamos dormindo. REDE WI-FI DO HOTEL NÃO É SEGURA!;7;;;;;
9 de dezembro de 2024;Bom;Foi tudo perfeito.;A piscina estava suja.;9;;;;;;
8 de dezembro de 2024;Útil!;Vista, localização e atendimento.;Estado de conservação do prédio.;7;;;;;;
7 de dezembro de 2024;Muito bom;Localização;Instalação antiga;8;;;;;;
4 de dezembro de 2024;Bom;;Chuveiro em alguns momentos estava acabando a água.;7;;;;;;
4 de dezembro de 2024;Boa;A localização é espetacular, bem em frente à praia. A equipe é gentil e solícita. A cama é muito confortável. A TV tem uma quantidade generosa de canais e só precisa de um controle remoto para operar. a vista do quarto era belíssima, para a praia de Boa Viagem. A ducha é excelente, com bastante pressão. O tamanho do quarto foi suficiente para mim, que me hospedei sozinho.;O teto do banheiro é bem baixo e não havia shampoo. A recepção estava funcionando provisoriamente num local um pouco difícil de achar. Como o restaurante do próprio hotel está em reformas, o café da manhã foi servido de forma provisória num restaurante anexo ao hotel, que tinha poucos lugares disponíveis e estava lotado, com fila de espera, acabei sem café da manhã.;8;;;;;;
2 de dezembro de 2024;O hotel não está classificado de acordo com sua realidade.;Localização;Café da manhã fraco, poucas opções. Muitos hospedes num salão pequeno, com fila de espera e muito barulho.;;;;;;;
Instalações bem antigas;" com mofo no quarto. Banheiro com muitas manchas de mofo.""";7;;;;;;;;
2 de dezembro de 2024;Pode melhorar.;Localização perfeita. Vista linda.;Wi-Fi caía todo momento. Chuveiro baixo.;7;;;;;;
1º de dezembro de 2024;Foi razoável;Os funcionários muito gentil ,e a cama confortável;Estava em reforma e n avisaram ,uma bagunça ,elevador q n funcionava ,café da manhã péssimo ,limpeza deixa a desejar;7;;;;;;
28 de novembro de 2024;Beleza de estadia;;;;;;;;;
26 de novembro de 2024;Bom;Razoável.;;7;;;;;;
24 de novembro de 2024;Bom;Localização;Não possui estacionamento. Nem possui sequer um local para parar o carro e retirar a bagagem.;7;;;;;;
18 de novembro de 2024;Muito bom;Ótima localização. Bom custo benefício.;;8;;;;;;
17 de novembro de 2024;Fantástico;Ótima localização na beira mar, quarto espaçoso, restaurante no hotel, com café da manhã bem servido. Boa limpeza e arrumação do quarto.;O banheiro tem um cheiro bem ruim, mesmo com a limpeza diária.;9;;;;;;
14 de novembro de 2024;Muito bom;Localização;Elevadores com problemas;8;;;;;;
14 de novembro de 2024;otima, foi o esperado;Localização. Quarto;Cafe da manha podia ter mais variedade de paes;9;;;;;;
14 de novembro de 2024;Muito bom;localização;elevador com barulho;8;;;;;;
11 de novembro de 2024;Fantástico;Café da manhã: com opções variadas e preparações saborosas.;;;;;;;;
Limpeza do quarto e banheiro. ;;;;;;;;;;
Chuveiro com excelente vazão de água.;;;;;;;;;;
"Cordialidade dos funcionários.""";A porta da varanda estava emperrada, e não conseguimos abrir. Como nossa estadia foi curta e não ficávamos no quarto, acabei não pedindo ajuda na recepção.;9;;;;;;;;
11 de novembro de 2024;Tolerância zero;Localização;Por ser cliente antigo acho que faltou sensibilidade da recepção para dar pelo menos uma hora de tolerância no check out . Deram zero tolerância. Como tinha reservado 2 quartos para 3 dias após isso pesou no meu cancelamento, fui para outro hotel.;8;;;;;;
10 de novembro de 2024;Bom;Localização;;7;;;;;;
6 de novembro de 2024;Maravilhosa, seria se o hotel tivesse garagem. Ficamos preoculpados com o nosso carro na rua.;Achei o Hotel Jangadeiros, com muito boa localização, ótima visão do mar, próximo de padaria, bares e restaurantes. A limpeza nos quartos, toalhas e lenções excelentes. Não gostamos de deixar nosso carro na rua, deveriam informar que não possuem garagem.;Não ter garagem no hotel;;;;;;;
"Café da manhã sem variedades...""";9;;;;;;;;;
5 de novembro de 2024;Bom;localização.;café, quarto, banheiro.barulho com reforma, pouca sociabilidads;7;;;;;;
5 de novembro de 2024;No geral, atendeu as nossas necessidades. Apenas o problema do ralo do banheiro que deixou a desejar.;Cama confortável, café da manhã variado;O quarto que fiquei estava com problemas no ralo do banheiro. Não podia abrir direito o chuveiro, que a água passava muito tempo para escoar. Foi chamado a manutenção, a mesma ainda demorou e quando foi, foi sem os equipamentos. Disseram que iriam buscar e voltavam em seguida, porém como toda viagem, temos nossos compromissos e precisávamos sair… informaram que poderíamos sair que eles entram no quarto normalmente. O que te deixa desconfortável, por ter suas coisas pessoais e deixar algo liberado para terem acesso. Quem está de viagem, jamais quer esta resolvendo problemas de manutenção, isso é inadmissível. Não autorizamos a entrada sem a nossa presença. Que no fim, o problema ficou sem resolver… deveriam verificar se os quartos estão ok antes de acomodar os hóspedes.;8;;;;;;
4 de novembro de 2024;BOA;QUARTO, CAFÉ E LOCALIZAÇÃO;SEM ESTACIONAMENTO;8;;;;;;
2 de novembro de 2024;Muito bom;Atendimento e localização excelentes. Funcionários solícitos. Ótimo custo-benefício. O apto que fiquei tinha uma vista maravilhosa para o mar.;O prédio é um pouco antigo e o teto é baixo.;8;;;;;;
1º de novembro de 2024;.;.;.;7;;;;;;
29 de outubro de 2024;Ótima Localização com um bom custo beneficio;.Otima localização, piscina com linda vista para praia boa viagem;.Pessima reposição do itens no café da manha ;;;;;;;
".Cardapio restaurante e preparaçao deixa muito a desejar""";8;;;;;;;;;
26 de outubro de 2024;Bom custo-benefício;Localização;Café da manhã;8;;;;;;
25 de outubro de 2024;Bom;otima localização;funcionarios mal educados.;;;;;;;
"recepcionista nao deu um """"boa tarde"""" "; não deu um sorriso ;" zero simpatia.""";7;;;;;;;
23 de outubro de 2024;Tranquila;A vista do hotel e hospitalidade da equipe do hotel;Cama rangendo e banheiro voltando cheiro de esgoto. ;;;;;;;
Maquina de cafe com problema alguns dias ;" causando falta de cafe para hospedes""";7;;;;;;;;
21 de outubro de 2024;Bom custo benefício;Achei o espaço no geral agradável. Achei bom ter acesso para a rua dos fundos do hotel devido o estacionamento próximo ao espaço. Achei o café da manhã gostoso e o espaço organizado.;Achei as orientações da estadia na recepção um pouco confusa, faltou explicar com mais clareza as áreas comuns, foi necessário perguntar sobre esses detalhes, acredito que tenha sido por conta da troca de funcionários. Os elevadores estavam passando por manutenção, sendo que um ficou o dia todo nesta situação. Talvez seja uma situação pontual que enfrentamos;9;;;;;;
19 de outubro de 2024;Muito bom;Localização;Não dividiu o valor das diárias no cartão , e a piscina muito fria, deveria ter aquecedor;9;;;;;;
16 de outubro de 2024;Fantástico;Quarto, café, localização;Sem estacionamento;9;;;;;;
15 de outubro de 2024;Bom;o café da amanhã é ótimo, as camas são bem confortáveis;tive que chamar um funcionário para auxiliar a aquecer o chuveiro, não tinha toalhas no quarto, nos deram toalhas de piscina. Depois de muito custo mandaram toalhas normais;7;;;;;;
14 de outubro de 2024;Localização excepcional;Localização do hotel e up grade de quarto;No primeiro dia, ficamos presos no elevador. Mas rapidamente fomos liberados. ;;;;;;;
Elevador fica na direção da cabeceira do cama.;;;;;;;;;;
Em todos os dias; não colocavam a quantidade correta de toalhas. ;;;;;;;;;
"Porta da varanda difícil de ser aberta""";9;;;;;;;;;
12 de outubro de 2024;Muito bom;Ótima localização bem em frente a praia.Cafe da manhã muito bom com funcionários e atenciosos e rápido atendimento.;Banheiro não estava tão limpo quando entramos no quarto. Elevadores necessitam de uma manutenção.Travesseiro muito finos...parece que nem tem.;8;;;;;;
